tas,pr,tos
13.7782,1022.94,18.6305
13.8636,1019.23,18.7084
13.9866,1026.25,18.8182
13.8645,1019.86,18.7318
13.8839,1019.93,18.7102
13.8517,1016.99,18.7251
14.072,1026.19,18.9284
14.0778,1029.46,18.8745
14.0004,1027.84,18.8571
13.9538,1028.33,18.8297
14.0117,1028.33,18.8439
14.1113,1030.0,18.9336
14.089,1026.36,18.8779
13.9645,1025.8,18.8485
14.055,1035.14,18.9178
14.1185,1028.96,18.9656
14.1721,1034.54,18.952
14.1688,1033.61,18.9846
14.2017,1031.57,18.974
14.2612,1039.19,18.9783
14.2251,1031.06,19.0441
14.3029,1030.88,19.0619
14.4201,1038.34,19.1819
14.4444,1036.36,19.0917
14.3407,1030.43,19.039
14.4253,1033.02,19.1354
14.4373,1042.59,19.1688
14.4351,1032.85,19.0879
14.5625,1037.9,19.1383
14.4577,1030.67,19.1583
14.6413,1042.9,19.2884
14.668,1046.59,19.274
14.5739,1038.79,19.1328
14.5135,1036.6,19.1766
14.6339,1036.81,19.2825
14.7472,1044.86,19.3895
14.7031,1042.6,19.2709
14.6101,1040.55,19.2385
14.7236,1038.88,19.3248
14.8192,1042.29,19.403
14.8771,1051.22,19.4646
14.6765,1039.17,19.2524
14.6136,1034.0,19.2351
14.7453,1033.66,19.3616
14.8951,1044.44,19.4348
14.6906,1036.03,19.3241
14.7808,1032.72,19.3784
14.9199,1038.48,19.4893
14.7915,1037.32,19.4071
14.8347,1039.4,19.4439
15.0221,1043.17,19.5546
15.0564,1047.69,19.6155
15.047,1044.23,19.5432
14.9281,1040.21,19.4982
15.1455,1049.69,19.6414
15.1922,1056.89,19.6459
15.0003,1045.37,19.5348
15.0345,1045.77,19.5832
15.2724,1055.63,19.7099
15.2215,1050.82,19.7184
15.1168,1055.68,19.6434
15.0944,1052.61,19.6646
15.0474,1051.84,19.5831
15.1491,1045.59,19.6043
15.3531,1057.97,19.8095
15.1912,1055.67,19.7149
15.083,1050.07,19.6319
15.167,1051.48,19.7104
15.2556,1056.82,19.7124
15.1245,1047.79,19.6274
15.2599,1051.96,19.726
15.2551,1048.67,19.7054
15.3123,1053.04,19.7502
15.213,1048.29,19.7096
15.3387,1058.54,19.8274
15.2991,1051.42,19.7681
15.4102,1060.13,19.8365
15.2833,1050.38,19.7373
15.3618,1057.75,19.7638
15.2458,1053.42,19.7067
15.2051,1052.44,19.7267
15.1911,1058.1,19.6896
15.2792,1057.1,19.7203
15.269,1054.48,19.7761
15.2967,1053.15,19.771
15.1906,1056.26,19.709
15.3139,1058.28,19.7334
15.4178,1061.12,19.8327
15.2748,1051.27,19.7525
15.4307,1058.34,19.8902
15.5753,1067.05,19.9915
15.3007,1053.39,19.8368
15.3076,1060.95,19.805
15.1816,1049.97,19.7011
15.3989,1055.66,19.8118
