tas,pr,tos
14.7279,1157.06,18.4988
14.7155,1154.7,18.5557
14.9261,1162.14,18.6589
14.9646,1162.56,18.6917
14.8569,1164.33,18.6272
14.8803,1167.04,18.6509
14.9002,1159.24,18.679
15.0351,1164.07,18.7371
14.8902,1167.35,18.6907
14.8916,1167.31,18.6727
14.8,1161.59,18.6249
15.0204,1164.69,18.766
15.0861,1165.44,18.854
15.0792,1170.38,18.7653
14.9831,1164.74,18.6955
15.0838,1165.92,18.7902
15.1452,1170.03,18.8227
15.115,1168.16,18.8086
15.211,1170.89,18.8923
15.2833,1172.98,18.9649
15.318,1170.12,18.972
15.3122,1173.26,18.9647
15.195,1168.43,18.8764
15.2027,1169.23,18.8799
15.2849,1174.19,18.9655
15.2709,1174.54,18.9155
15.3036,1171.25,18.9268
15.4234,1174.86,19.0675
15.4893,1176.86,19.0497
15.3132,1175.29,18.9832
15.4007,1176.36,19.0002
15.4015,1172.12,19.0361
15.515,1175.06,19.1271
15.5985,1176.29,19.1322
15.4971,1173.72,19.1207
15.5648,1177.28,19.1798
15.5578,1181.11,19.1425
15.5147,1177.76,19.1135
15.6426,1181.29,19.1778
15.6654,1181.99,19.2405
15.7434,1183.71,19.269
15.9166,1183.17,19.3491
15.8601,1184.37,19.3581
15.8087,1190.15,19.3099
15.8658,1184.42,19.3496
15.8898,1188.32,19.3721
15.8479,1184.52,19.3682
15.9948,1187.84,19.404
15.9577,1189.9,19.4485
15.9695,1189.39,19.4089
15.9445,1190.2,19.4025
15.9848,1184.83,19.4378
16.1575,1193.37,19.5125
16.2259,1191.18,19.5552
16.3014,1196.67,19.5974
16.2462,1196.5,19.609
16.2006,1194.23,19.5566
16.1981,1196.66,19.5627
16.1125,1191.57,19.4775
16.2359,1191.86,19.6015
16.3553,1199.27,19.6465
16.0173,1192.97,19.5166
16.1643,1196.89,19.5846
16.2901,1196.61,19.6485
16.5153,1198.25,19.842
16.3427,1205.88,19.7209
16.1912,1195.99,19.5871
16.343,1198.46,19.6622
16.2845,1201.91,19.6573
16.2055,1198.76,19.6012
16.1668,1197.98,19.5834
16.4022,1199.59,19.7416
16.4561,1197.54,19.759
16.6198,1204.91,19.8691
16.5803,1204.52,19.8647
16.4991,1202.28,19.7992
16.5053,1203.76,19.7663
16.6405,1205.02,19.8267
16.4904,1203.79,19.7987
16.4827,1205.44,19.8013
16.4688,1207.1,19.7555
16.4947,1204.23,19.7529
16.4376,1202.14,19.7624
16.4904,1201.96,19.781
16.4872,1200.95,19.775
16.2502,1202.28,19.6841
16.4385,1203.5,19.8038
16.6944,1208.93,19.8832
16.648,1205.95,19.8875
16.5884,1203.19,19.8468
16.6367,1204.49,19.9171
16.6447,1203.62,19.9201
16.5616,1205.24,19.8328
16.5867,1206.25,19.84
16.6813,1211.35,19.9707
