tas,pr,tos
13.0927,1002.44,17.247
13.1247,1001.97,17.2806
13.1328,1007.04,17.2777
13.0984,1007.18,17.184
12.9427,1000.08,17.1181
12.9601,1002.99,17.097
12.9162,999.363,17.0801
12.895,998.5,17.1283
13.2135,1006.59,17.2818
13.168,1005.68,17.2921
13.0156,1002.03,17.1911
12.9394,997.912,17.1169
12.9774,1003.58,17.1335
13.1178,1000.98,17.2148
13.2458,1003.33,17.3143
13.2748,1005.72,17.3329
13.0462,1006.99,17.2
13.0725,1003.21,17.1584
12.9625,1001.35,17.1042
13.0199,1001.58,17.1729
12.9766,1000.52,17.1772
12.9197,1004.49,17.0798
12.8749,997.26,17.0788
12.9659,1003.18,17.1701
12.9217,998.509,17.1358
12.9451,1000.09,17.1282
12.9596,996.508,17.1661
12.9253,1002.15,17.1481
13.0004,1001.44,17.1862
13.0248,1003.44,17.2138
12.938,1004.14,17.0947
