tas,pr,tos
13.3006,1019.05,17.3114
13.4116,1020.24,17.3892
13.3003,1026.39,17.3035
13.3795,1019.36,17.3689
13.4149,1019.75,17.404
13.4397,1021.23,17.4318
13.2332,1025.44,17.2956
13.2798,1015.27,17.2916
13.2284,1021.86,17.2548
13.2867,1019.05,17.3056
13.3301,1018.65,17.3481
13.2488,1021.22,17.2855
13.376,1021.68,17.3352
13.2615,1018.43,17.294
13.1571,1022.41,17.2617
13.3548,1017.9,17.3431
13.2903,1023.42,17.3565
13.377,1022.46,17.3836
13.4089,1024.69,17.4103
13.6347,1021.57,17.5064
13.4812,1024.17,17.3861
13.4039,1016.93,17.3534
13.425,1019.43,17.406
13.4801,1020.0,17.4288
13.5025,1025.68,17.4452
13.4425,1024.05,17.393
13.3878,1020.51,17.3586
13.3296,1020.58,17.3137
13.314,1021.51,17.3435
13.5768,1020.84,17.4433
13.3375,1020.8,17.3597
13.2908,1018.35,17.3247
13.3289,1026.33,17.3269
13.3094,1018.57,17.3334
13.0273,1014.84,17.1533
13.0774,1011.4,17.1479
13.1147,1011.74,17.2619
13.3485,1016.13,17.3634
13.3223,1019.08,17.3356
13.3466,1015.98,17.3429
13.3931,1019.55,17.3561
13.2664,1015.63,17.2723
13.1683,1018.13,17.2555
13.2703,1018.74,17.285
13.3347,1020.02,17.3306
13.3716,1019.33,17.3429
13.4011,1020.07,17.3684
13.3189,1017.11,17.3033
13.3438,1016.85,17.3443
13.523,1017.59,17.4368
13.4382,1022.74,17.4106
13.4907,1021.64,17.4038
13.4152,1021.61,17.4457
13.2822,1018.31,17.3379
13.2079,1015.69,17.2514
13.2777,1015.94,17.2939
13.3118,1019.22,17.3093
13.308,1016.21,17.3007
13.2472,1018.78,17.2575
13.3759,1012.1,17.3306
13.3657,1020.96,17.3271
13.3918,1017.49,17.3723
13.4318,1016.94,17.3874
13.2053,1016.72,17.2714
13.2829,1015.4,17.2987
13.3257,1014.98,17.3694
13.4052,1020.35,17.3972
13.3375,1015.99,17.3406
13.3214,1013.52,17.3654
13.4752,1020.45,17.4528
13.4003,1020.94,17.441
13.464,1016.97,17.4308
13.5843,1020.04,17.5127
13.7762,1020.33,17.6342
13.7367,1024.89,17.5802
13.6077,1022.49,17.5476
13.6955,1022.67,17.5817
13.7202,1022.37,17.5633
13.6657,1022.48,17.5424
13.5773,1021.18,17.4294
13.6106,1023.65,17.518
13.6436,1021.91,17.4811
13.4901,1020.37,17.4818
13.5279,1019.33,17.4637
13.4394,1021.22,17.4034
13.5252,1019.4,17.4708
13.6447,1019.7,17.5006
13.798,1021.0,17.6004
13.6624,1021.57,17.5127
13.5835,1016.19,17.514
13.6906,1020.21,17.584
13.6322,1021.45,17.5287
13.5688,1020.62,17.5207
13.7556,1017.15,17.6262
13.7926,1025.2,17.6577
13.7316,1019.83,17.635
13.7844,1025.82,17.6706
13.7501,1019.19,17.5948
13.8472,1020.82,17.6875
13.8202,1018.89,17.6785
13.9994,1031.99,17.786
13.8926,1024.69,17.7368
13.7852,1024.54,17.6704
13.7094,1022.24,17.6132
13.7244,1022.69,17.6307
13.7303,1021.51,17.6354
13.6611,1025.05,17.5238
13.6704,1019.7,17.5834
13.8354,1024.44,17.6847
13.7486,1020.38,17.6058
13.7333,1021.84,17.6393
13.8503,1013.43,17.6926
13.8549,1017.73,17.7087
13.7907,1018.81,17.6308
13.4775,1014.06,17.4628
13.3683,1011.13,17.3968
13.508,1011.99,17.4769
13.6787,1015.89,17.5439
13.5139,1018.77,17.516
13.5052,1010.4,17.4364
13.5227,1013.14,17.4847
13.5462,1011.43,17.5328
13.5552,1015.44,17.5382
13.5352,1011.77,17.5414
13.6917,1012.6,17.6289
13.6252,1009.55,17.5784
13.745,1013.38,17.6381
13.9204,1019.41,17.7809
13.9593,1016.46,17.7708
13.8732,1013.77,17.7199
13.8114,1015.26,17.7301
13.8607,1021.6,17.7222
13.756,1014.77,17.635
13.6852,1006.85,17.591
13.7433,1008.82,17.6099
13.8115,1010.25,17.674
13.9175,1009.39,17.7422
13.9467,1013.92,17.7967
13.9913,1015.09,17.8252
13.9884,1019.72,17.8473
14.1775,1016.11,17.8823
14.0363,1014.84,17.8281
13.7307,1005.69,17.5985
13.7918,1011.92,17.6166
13.913,1011.16,17.7073
13.9553,1018.48,17.7673
14.1016,1017.63,17.9132
14.2384,1023.43,17.9366
14.1473,1015.88,17.9462
14.1968,1025.16,17.915
14.2896,1023.59,17.943
14.414,1020.65,17.9986
14.2838,1023.54,17.9707
14.1992,1023.54,17.8934
14.0555,1019.33,17.8168
14.1613,1022.33,17.904
