tas,pr,tos
13.8217,1086.85,17.7209
13.622,1083.07,17.5969
13.5658,1084.13,17.5192
13.5368,1084.58,17.6073
13.7685,1085.18,17.6174
13.6486,1083.84,17.5844
13.7522,1089.77,17.6272
13.7068,1083.49,17.544
13.698,1085.59,17.6256
13.8231,1086.98,17.6941
13.7366,1082.1,17.6865
13.8857,1087.56,17.7855
13.783,1090.28,17.6904
13.7856,1088.05,17.6755
13.7799,1090.33,17.6958
13.7065,1079.38,17.6304
13.7483,1089.28,17.6796
13.6486,1087.02,17.5731
13.6214,1085.52,17.5551
13.6523,1084.18,17.5898
13.5837,1081.09,17.5923
13.5812,1081.27,17.5602
13.6016,1083.29,17.5684
13.6013,1085.36,17.5794
13.6422,1088.62,17.6191
13.6637,1084.25,17.5853
13.5473,1083.55,17.513
13.5594,1079.21,17.5447
13.7483,1087.22,17.6685
13.7686,1092.96,17.7091
13.6412,1086.97,17.6343
13.638,1088.74,17.5927
13.6139,1082.76,17.5212
13.4966,1081.77,17.5389
13.6951,1086.65,17.6482
13.8837,1090.5,17.674
