tas,pr,tos
13.4344,1087.41,17.9989
13.5689,1089.55,18.0077
13.3959,1087.85,17.8298
13.2967,1080.73,17.7814
13.2781,1083.15,17.7919
13.3626,1080.8,17.817
13.2271,1082.16,17.7858
13.3171,1080.01,17.7947
13.3945,1077.53,17.8654
13.3751,1082.55,17.8146
13.32,1081.21,17.7585
13.2536,1079.25,17.6929
13.2094,1072.08,17.748
13.2378,1080.29,17.7054
13.081,1071.82,17.6387
12.9948,1073.44,17.6008
13.1834,1074.01,17.7851
13.3348,1082.73,17.8536
13.3156,1084.2,17.8252
13.3166,1079.93,17.7602
13.1998,1080.03,17.7142
13.2297,1076.17,17.7008
13.2443,1077.79,17.7357
13.3477,1076.29,17.786
13.2538,1078.2,17.7322
13.285,1076.48,17.7313
13.3581,1081.47,17.8666
13.4855,1084.21,17.8958
13.3304,1083.95,17.8615
13.4297,1079.0,17.9329
13.4166,1086.14,17.8531
13.3688,1075.64,17.7809
13.6097,1084.05,17.9856
13.452,1079.48,17.8474
12.864,1068.98,17.4424
12.7683,1064.02,17.4187
13.0043,1070.34,17.6136
12.965,1071.19,17.5107
12.918,1068.4,17.5128
13.0621,1068.76,17.6076
13.1439,1067.24,17.7163
13.1429,1076.95,17.7123
13.0617,1071.78,17.6519
13.1683,1076.98,17.7097
13.2372,1079.05,17.725
13.2509,1075.18,17.7841
13.2141,1075.91,17.7471
13.188,1078.53,17.7313
13.1612,1075.68,17.6563
13.1505,1071.99,17.6578
13.1643,1076.3,17.6303
13.261,1072.4,17.7351
13.3443,1074.38,17.8431
13.1852,1077.83,17.7189
13.1979,1071.65,17.6735
13.2639,1074.65,17.7284
13.2861,1078.23,17.7789
13.277,1074.74,17.7733
13.1919,1077.85,17.7142
13.2585,1072.01,17.7211
13.2909,1076.87,17.8758
13.4505,1080.55,17.927
13.3966,1084.92,17.8121
13.1124,1077.55,17.6977
13.1869,1074.51,17.7126
13.5132,1078.98,17.9139
13.4719,1076.61,17.8995
13.5483,1080.67,17.9905
13.5529,1081.13,17.9125
13.4501,1083.32,17.88
13.3868,1082.87,17.8742
13.5607,1081.37,17.9526
13.327,1080.39,17.8243
13.4618,1080.69,17.9653
13.6795,1079.07,18.0653
13.7608,1086.3,18.1292
13.7943,1086.54,18.1266
13.5616,1088.13,17.9455
13.5682,1086.4,17.9593
13.4909,1079.79,17.9428
13.5353,1083.04,17.9537
13.3849,1087.88,17.8677
13.3614,1085.91,17.9193
13.3719,1083.36,17.8454
13.2755,1077.78,17.8101
13.4755,1079.81,17.8816
13.4789,1081.88,17.949
13.5775,1084.94,18.0066
13.4186,1083.54,17.9013
13.259,1076.87,17.8321
13.5316,1078.28,17.9797
13.6307,1082.21,18.0109
13.4817,1082.79,17.9176
13.4036,1082.82,17.8469
13.261,1076.91,17.7811
13.3517,1082.85,17.8564
13.2603,1077.98,17.8448
13.519,1080.61,17.9895
13.4465,1081.19,17.9482
13.3615,1081.72,17.8557
13.3761,1081.36,17.904
13.2368,1085.01,17.7746
13.2263,1073.0,17.7443
13.3342,1075.53,17.8128
13.3624,1080.04,17.8292
13.3715,1076.69,17.8323
13.4145,1077.89,17.8854
13.402,1073.64,17.8873
13.3919,1084.35,17.896
13.3498,1081.27,17.771
13.3747,1075.14,17.8462
13.4431,1075.8,17.8974
13.4265,1081.01,17.911
13.3168,1081.03,17.7743
13.0594,1065.99,17.5896
13.2342,1074.06,17.7576
13.2751,1065.9,17.7615
13.173,1073.42,17.7064
13.1409,1074.55,17.7347
13.099,1067.18,17.6464
13.3536,1070.5,17.814
13.3386,1073.39,17.8188
13.4066,1076.95,17.8628
13.4758,1077.66,17.8811
13.3263,1072.86,17.8543
13.5104,1076.63,17.9626
13.5248,1076.19,17.9173
13.2659,1076.81,17.8076
13.3045,1080.55,17.8244
13.3727,1079.89,17.8616
13.4153,1074.28,17.9504
13.6505,1084.42,18.0345
13.4934,1075.47,17.9009
13.2249,1071.83,17.7609
13.4583,1072.8,17.959
13.7878,1083.47,18.1783
13.74,1086.18,18.1149
13.5785,1078.21,17.9537
13.6873,1074.96,18.0238
13.6224,1077.85,18.0239
13.8383,1079.63,18.1685
13.8565,1085.9,18.1571
13.4047,1077.53,17.8948
13.4656,1076.02,17.9121
13.6433,1074.18,18.0039
13.7906,1078.91,18.1121
13.8607,1080.74,18.1956
13.9662,1083.59,18.2322
13.979,1085.95,18.2759
13.9519,1089.24,18.2369
14.0045,1087.15,18.2962
14.257,1090.69,18.4378
14.3568,1091.56,18.5137
14.2004,1088.26,18.4276
14.1705,1095.08,18.4437
14.2498,1094.34,18.4751
