tas,pr,tos
13.3531,1057.54,18.4532
13.3997,1060.27,18.562
13.6296,1050.74,18.667
13.5063,1060.38,18.5503
13.2686,1053.77,18.4429
13.5043,1053.82,18.6211
13.7328,1059.52,18.7839
13.7881,1058.86,18.846
13.7927,1057.71,18.8265
13.7217,1062.19,18.762
13.7809,1061.89,18.8037
13.739,1063.04,18.731
13.537,1062.38,18.6473
13.6603,1063.67,18.7055
13.7603,1061.53,18.7381
13.8879,1061.57,18.9208
14.2597,1069.32,19.1285
14.2028,1068.75,19.1483
14.1475,1076.82,19.0244
13.9214,1073.81,18.9214
13.9879,1068.99,18.991
14.065,1068.63,19.0234
14.0034,1073.18,18.9286
13.8601,1067.55,18.8614
13.9144,1067.12,18.9685
14.1836,1066.39,19.1333
14.2216,1069.77,19.1466
14.4022,1072.37,19.3111
14.2106,1077.61,19.1697
14.1111,1076.95,19.0452
14.1509,1075.28,19.0505
14.2617,1070.47,19.2143
14.3117,1075.41,19.2595
14.2331,1078.4,19.2335
14.2733,1077.27,19.2221
14.2601,1079.26,19.2441
14.3388,1080.15,19.269
14.3431,1080.1,19.2763
14.4382,1082.66,19.3556
14.4835,1080.69,19.388
14.378,1087.32,19.315
14.3222,1084.57,19.155
14.3585,1082.17,19.2812
14.5607,1084.09,19.4079
14.4778,1083.24,19.3489
14.467,1081.08,19.3143
14.2113,1080.37,19.1628
14.2446,1082.01,19.2006
14.5161,1079.55,19.4104
14.5584,1083.71,19.4682
14.5,1084.26,19.3468
14.4615,1081.38,19.338
14.5362,1085.74,19.4387
14.4191,1085.61,19.3296
14.3132,1086.78,19.2579
14.2559,1085.15,19.2616
14.3944,1085.47,19.3578
14.6191,1083.03,19.5356
14.5897,1089.18,19.4462
14.5531,1090.22,19.4557
14.5226,1083.56,19.4732
14.4357,1089.95,19.4262
14.4595,1083.72,19.3809
14.5688,1088.29,19.4218
14.5121,1088.25,19.4704
14.3468,1090.6,19.2875
14.2498,1086.18,19.2018
14.4566,1082.9,19.4409
14.7497,1090.19,19.6481
14.5908,1093.35,19.4442
14.3933,1087.41,19.3222
14.53,1092.44,19.4044
14.5425,1083.26,19.421
14.5595,1093.2,19.413
14.4935,1089.13,19.3807
14.5376,1088.01,19.4565
14.6758,1096.91,19.586
14.6686,1089.31,19.5231
14.4162,1093.78,19.3623
14.5018,1079.98,19.4355
14.8024,1090.1,19.6535
14.8061,1095.17,19.6578
14.6412,1093.86,19.5261
14.6847,1096.65,19.5297
14.6659,1095.31,19.5057
14.6886,1097.85,19.5482
14.738,1097.52,19.5732
14.6679,1095.97,19.5471
14.5239,1096.39,19.4782
14.618,1098.26,19.5369
14.8368,1092.98,19.638
14.8864,1092.39,19.7032
14.6731,1099.19,19.5595
14.5497,1095.88,19.4263
14.623,1093.42,19.5302
