exp0,expC,expT,expP
25.4736,36.9079,26.5329,26.9343
0.428616,0.428616,0.428616,0.428616
6.85512,9.75995,6.85512,7.54664
23.1999,42.3153,22.4011,24.5709
0.0,0.0,0.0,0.0
5.26844,5.3408,5.08133,5.3408
5.28057,5.28057,5.22879,5.28057
0.0712128,0.0712128,0.0712128,0.0712128
3.29921,3.51789,3.0644,3.30472
5.18047,5.18047,5.18047,5.18047
29.059,29.2388,29.2238,29.0889
2.68659,2.69009,2.68808,2.68659
9.67586,9.73638,9.68036,9.67586
11.9447,11.9447,11.9447,11.9447
7.72553,7.72553,7.72553,7.72553
0.235513,0.235513,0.235513,0.235513
17.3733,17.4857,17.3826,17.3733
6.32922,6.32922,6.32922,6.32922
0.161131,0.161131,0.161131,0.161131
7.73005,7.73005,7.37672,7.73005
53.71,58.6265,54.6162,56.5344
0.11221,0.123658,0.114033,0.115514
0.447378,1.11844,0.782911,0.671067
3.87939,3.90405,3.89446,3.8971
185.075,217.13,134.159,190.452
101.869,109.805,91.3343,104.929
12.9116,13.2917,13.1081,13.0729
0.296381,0.701285,0.233694,0.297626
3.3201,11.0971,3.24895,3.94044
28.2329,29.1613,28.8764,29.4674
306.826,309.194,307.01,307.31
1.07049,1.2431,0.975628,1.1645
34.5833,34.7663,34.7663,34.7663
9.68963,9.68963,9.68963,9.68963
8.0774,10.0291,9.12293,8.60016
42.146,42.182,42.1786,42.2128
1.73591,2.74079,1.51157,2.12638
23.8818,24.6546,24.6546,24.6546
13.318,13.3751,13.3751,13.3751
1.02149,1.02149,1.02149,1.02149
1.22269,1.22269,1.22269,1.22269
3.2101,3.2101,3.2101,3.2101
0.37831,0.378433,0.378433,0.378433
1.96719,1.96719,1.96719,1.96719
8.52602,8.64651,8.64651,8.64651
0.661865,0.776442,0.581719,0.739621
0.0347526,0.0354408,0.0344978,0.0350203
0.0214885,0.0254353,0.017992,0.024985
0.121651,0.155876,0.0681418,0.146046
0.309979,0.309979,0.00420948,0.30988
1.49789,1.51346,0.953158,1.48487
1.74402,1.85804,0.569344,1.69028
0.821203,0.938041,0.809048,0.904275
1.79932,2.1637,0.988279,1.8715
0.0251001,0.361543,0.0090481,0.0710873
0.647731,1.95111,0.174342,0.914309
0.18831,0.18831,0.18831,0.240441
4.8171,4.9686,4.63371,4.89476
2.95425,2.99466,1.98977,2.95059
2.03322,2.09577,1.14833,1.97121
0.0260883,0.0333388,0.0258846,0.0281181
0.0,0.0,0.0,0.0
1.64971,1.65046,1.64796,1.65045
2.18834,2.82107,0.556912,2.16044
6.79276e-05,0.000339638,6.79276e-05,0.000203783
0.280031,0.399656,0.104322,0.291043
0.0717549,0.0878469,0.0585954,0.0812671
0.0702198,0.296239,0.0702198,0.0928217
2.15153,2.16465,0.206331,2.11744
4.76339,4.76339,4.76339,4.83273
0.134798,0.14491,0.129228,0.138843
0.715112,0.712491,0.454064,0.698981
0.0319642,0.0341656,0.0299414,0.0330022
0.160743,0.165858,0.0720193,0.161556
0.0148778,0.0564079,0.00302343,0.0192734
5.70375,6.13107,4.16199,5.97064
1.07023,1.50699,0.975209,1.20292
0.671835,1.14126,0.315706,0.758682
128.963,174.246,85.9916,130.451
1.76885,2.53927,0.931194,2.02383
0.113292,0.363752,0.0776371,0.113375
0.771381,1.60627,0.566902,0.977945
0.0,0.00526831,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.000164524,0.000575834,0.0,0.00041131
0.000619229,0.0021673,0.0,0.00154807
0.00228,0.00827394,0.0,0.00570001
0.0,0.0,0.0,0.0
0.234164,0.760865,0.16083,0.267355
0.0174333,0.0220581,0.0145278,0.0203389
0.0,0.0,0.0,0.0
0.00564937,0.0282469,0.00564937,0.0169481
0.0,0.0,0.0,0.0
2.67e-05,0.0001335,2.67e-05,8.01e-05
20.2433,21.2724,20.851,20.5778
3.42598,3.77716,3.42598,3.42598
50.9282,53.6339,53.5109,51.5108
68.7812,72.2405,71.4619,71.3823
92.8878,93.6499,93.2237,93.77
5.81164,6.99482,6.613,6.13492
3.73608,4.27817,3.73608,3.85405
1.37059,1.4149,1.31076,1.37699
0.0268253,0.0268253,0.0268253,0.0268253
5.4991,6.56804,5.0336,5.89876
11.5441,13.3328,11.287,11.9465
1.87635,2.12536,1.87855,1.87636
9.13385,9.90677,9.28843,9.31623
1.03601,1.51847,0.997143,1.14413
37.9519,47.0102,45.7764,43.0939
0.0999448,0.16819,0.0998559,0.1093
0.801667,1.5719,0.957619,1.0216
0.116135,0.745912,0.707121,0.707121
0.0,0.0,0.0,0.0
