exp0,expC,expT,expP
29.4061,29.0949,28.7536,32.0956
1.28159,1.36987,0.907668,1.32509
6.25642,9.97809,5.74223,7.164
54.2721,54.1173,49.1507,56.4135
0.0,0.0,0.0,0.0
6.97292,7.51781,5.56481,7.14891
0.325327,0.397475,0.234212,0.351099
0.236255,0.246054,0.154021,0.276295
1.53771,1.58778,1.24162,1.65589
1.21208,1.59713,0.950716,1.33074
10.6637,15.5374,8.10784,11.5075
1.60534,1.88713,1.45696,1.6849
5.56572,6.19543,5.29854,5.82929
0.67607,1.37137,0.536756,0.73494
1.92679,2.19896,1.367,2.01358
1.08872,1.23903,0.964286,1.23903
6.81635,8.09795,5.90796,7.32544
1.90487,2.1321,1.6241,1.98856
0.0791328,0.118347,0.0680936,0.0868552
6.20008,6.7564,5.9538,6.37885
46.0906,49.3109,42.58,47.8082
8.48857,8.61291,8.30195,9.07104
0.338338,0.421517,0.297511,0.375042
1.58133,1.60832,1.57148,1.66996
177.601,192.711,110.108,185.63
44.42,47.1792,34.7899,46.9748
13.2243,13.3498,12.227,13.9751
0.0242802,0.0259274,0.0207222,0.0246833
24.5152,25.0448,21.7324,25.384
21.0395,21.7422,20.9671,21.5232
95.9943,104.848,88.1128,99.2844
13.369,15.3664,9.0973,13.9076
12.6014,14.145,11.9336,13.0648
2.3263,2.19032,2.18836,2.39651
3.63967,3.83725,3.49761,3.78874
3.7972,4.30935,3.59664,4.03915
0.988123,1.02979,0.541603,1.03251
29.9884,31.5564,28.5876,30.774
4.05268,4.4751,3.9149,4.13955
0.195231,0.218176,0.166687,0.200289
1.1803,1.34157,1.07251,1.20826
1.23508,1.38717,1.30322,1.35652
0.0217463,0.0258271,0.0203534,0.0230788
0.955087,1.72148,0.830917,1.08308
7.46629,7.8109,4.88702,7.6607
0.0922071,0.0987191,0.0724013,0.0970328
1.02535,1.12558,0.615568,1.09371
0.0,0.0,0.0,0.0
0.00621998,0.0080837,0.00561222,0.00678422
1.38305,1.43057,0.641321,1.57212
0.180272,0.247161,0.093607,0.196081
7.91723,10.3738,5.30383,8.48991
3.11218,3.05197,2.03387,3.29952
2.23244,2.48168,1.44758,2.41606
4.59786,4.75143,4.15972,4.69531
0.493659,0.548679,0.415978,0.529771
0.795968,0.930599,0.26786,0.839602
2.11208,2.25659,1.69757,2.24261
0.232951,0.293803,0.142033,0.24932
0.380027,0.434604,0.191833,0.399178
0.00203584,0.00206424,0.00156408,0.00214195
0.0,0.0,0.0,0.0
2.09228,2.29495,1.37278,2.19497
0.405819,0.476627,0.290113,0.458392
0.135918,0.153728,0.0981901,0.144401
0.0192865,0.0192254,0.0152211,0.0198165
0.000122484,0.000148056,9.63505e-05,0.000131417
1.26488,1.38064,1.00653,1.35982
4.48724,5.69583,2.76226,4.80276
4.21512,4.36123,2.37961,4.37487
0.32132,0.337659,0.290341,0.331297
4.97018,5.78267,3.30521,5.2591
0.142494,0.156043,0.086849,0.144549
0.55498,0.567325,0.475342,0.595708
0.0743845,0.0808347,0.0562019,0.0771945
0.43968,0.453739,0.321771,0.458475
0.68756,0.727511,0.570827,0.703114
0.143832,0.142264,0.13164,0.158213
71.2506,81.1438,40.777,75.1552
3.20008,3.00249,2.69258,3.42043
0.573697,0.513193,0.497573,0.511543
0.379247,0.401724,0.391839,0.389369
1.13418,0.815869,0.940426,1.20602
0.373582,0.377724,0.389447,0.411221
2.89197,2.91555,2.93306,3.01716
0.382382,0.35344,0.361276,0.416406
0.155003,0.164953,0.116236,0.164683
0.109392,0.123002,0.11085,0.116399
8.23391,8.14551,7.91737,8.76851
5.4742,5.87675,4.72867,5.81141
10.3915,10.0703,9.57848,10.4837
1.53295,1.53313,1.482,1.55395
1.40207,1.3809,1.24548,1.48926
0.413349,0.440323,0.351088,0.438918
3.02696,3.16788,2.65843,3.22051
8.3563,9.34843,7.99931,9.08909
3.16307,3.22822,3.08678,3.3407
20.8573,23.5171,20.1831,22.4861
12.1118,14.1964,11.1216,13.062
12.2744,15.1745,11.1351,13.2964
6.25793,6.25178,5.98514,6.68966
4.9715,6.29645,4.45907,5.20843
2.21306,2.3013,2.15333,2.28138
0.0,0.0,0.0,0.0
4.02488,4.31198,3.49535,4.2625
3.30404,3.58847,2.86355,3.60111
2.93949,2.74038,2.56549,3.23703
5.68999,6.18883,5.60681,6.05305
2.20856,2.3006,2.09279,2.35976
17.2231,17.3091,16.3783,18.1836
2.00352,1.8851,2.06833,2.11161
0.784161,0.756238,0.67714,0.844285
1.50714,1.48618,1.29231,1.63853
0.545362,0.313763,0.118845,0.367561
