exp0,expC,expT,expP
45.2299,53.6684,43.3283,47.0936
5.75124,5.7742,5.64779,5.76778
14.026,15.1498,13.9028,14.308
157.518,172.244,146.346,161.414
0.0,0.0,0.0,0.0
11.4151,11.5231,11.1156,11.4585
4.13972,4.14456,4.07361,4.14004
0.757697,0.760518,0.741648,0.764711
12.2592,14.4457,10.5176,13.0577
6.05154,6.17087,5.89082,6.11972
54.3709,55.3422,53.6753,54.628
7.30608,7.39901,7.23922,7.35513
19.3805,19.5222,19.2647,19.4668
10.9556,11.0919,10.9017,10.977
7.83125,7.886,7.71872,7.85172
0.615374,0.640873,0.593867,0.640623
18.5517,18.9819,18.0786,18.8911
10.6671,10.7575,10.5422,10.6944
0.236524,0.24306,0.234683,0.237812
8.66611,8.77198,8.55623,8.72741
79.3379,86.664,76.391,81.2401
5.02625,5.25647,4.83139,5.63507
1.44853,1.59288,1.49698,1.49603
9.46245,9.56705,9.333,9.2886
250.138,283.576,229.094,256.769
192.09,205.158,181.902,195.284
20.8689,23.0478,19.6304,21.4473
1.49458,1.79533,2.17398,1.74523
27.5813,32.9979,23.4991,28.8495
29.1557,31.5147,27.7831,30.1916
306.545,309.437,301.452,308.722
11.8438,12.5317,11.0481,12.0564
35.64,36.2626,35.5149,35.8508
7.30605,7.31323,7.26691,7.32789
5.71902,7.29669,5.3347,6.2929
34.487,34.7977,33.8804,34.8274
5.51568,5.70583,4.98426,5.64447
31.3144,32.2634,30.8777,31.9238
16.7853,16.8841,16.736,16.8249
1.2208,1.22505,1.21489,1.22183
3.1508,3.17934,3.10888,3.16568
4.13715,4.16287,4.14781,4.1578
1.75214,1.75319,1.73609,1.78084
3.17657,3.30646,3.15053,3.19922
7.20323,7.36201,6.78662,7.27588
1.79134,1.81085,1.64675,1.80364
0.997034,1.00298,0.91697,1.0015
0.154597,0.156651,0.154014,0.156596
1.64062,1.64879,1.43378,1.64526
1.84812,1.85954,1.38962,1.88699
1.88468,1.83053,1.75173,1.81231
10.1113,10.5506,9.23717,10.1861
13.1516,13.1979,12.8733,13.3621
10.4384,10.5331,8.36856,10.5004
3.43649,3.52198,3.35444,3.47689
2.49062,2.67982,1.97563,2.54013
2.15296,2.19031,2.05834,2.16892
6.80171,6.86581,6.70852,6.85487
3.28669,3.22692,3.05763,3.19606
2.75885,2.79066,2.4716,2.75558
0.20848,0.209867,0.205572,0.208898
0.0106274,0.0106274,0.00791248,0.0106274
1.55705,1.5976,1.39234,1.57739
6.87922,7.01011,5.89055,6.8849
1.90723,1.91067,1.85375,1.93974
0.98147,1.00266,0.872749,0.983984
0.154113,0.156834,0.151586,0.155715
9.09499,9.44349,8.91925,9.3255
10.1949,10.4318,9.24704,10.2306
8.88506,8.91783,8.63182,8.95714
0.83051,0.835222,0.823486,0.833154
8.2188,8.36254,7.88803,8.25425
2.10146,2.10748,2.03309,2.10335
0.854409,0.859283,0.815006,0.863057
2.27044,2.24191,1.97241,2.24967
6.50911,6.5594,6.17987,6.48112
1.91939,2.00294,1.7862,1.94711
4.72821,4.88096,4.19046,4.7724
432.863,479.336,397.444,440.571
17.0775,17.0507,16.5455,17.3417
1.33535,1.37199,1.1222,1.36986
3.43575,3.57499,3.28716,3.47567
6.25952,7.32031,7.66789,6.98588
1.91633,2.34773,1.83289,1.72888
3.86487,4.26872,4.15942,4.27555
0.549366,0.622723,0.455373,0.672174
0.970539,0.927543,0.905734,0.930458
1.0664,1.07101,1.02515,1.06848
10.7567,11.0161,9.15741,10.7756
16.2988,16.4543,15.8997,16.4193
8.31975,8.6328,7.84003,8.45376
0.290422,0.320111,0.277125,0.294692
3.09916,4.06853,2.62513,3.35508
1.15718,1.04365,0.973815,1.1034
4.66714,5.05832,4.03487,4.92856
19.0413,20.9089,18.8268,19.595
4.14985,4.59643,4.08277,4.34372
52.278,55.6681,52.0198,53.6744
68.5347,70.5772,67.0017,69.8398
88.902,91.2056,85.1029,90.0611
13.2611,14.9574,12.4268,13.9408
11.6358,12.581,11.4532,11.8796
3.21989,3.24229,3.15308,3.25888
0.0113321,0.0113321,0.0113321,0.0113321
15.5413,16.5031,15.155,15.9127
20.2627,20.6742,19.6714,20.6261
4.41191,4.80588,3.97759,4.58699
19.3113,19.6014,18.9253,19.3614
4.50497,5.92178,3.86436,4.63492
37.4592,43.1223,36.4236,39.3918
0.678487,1.05393,0.58611,0.778142
3.17286,4.84373,2.54059,3.59648
1.61111,2.09041,0.964531,1.44223
0.331526,0.292926,0.242519,0.301892
