exp0,expC,expT,expP
20.4199,20.4142,19.9987,20.9282
1.48476,1.48476,1.48476,1.48476
5.91043,5.91043,5.91043,5.91043
57.4877,57.6547,56.5298,57.6492
0.0,0.0,0.0,0.0
6.94494,6.94494,6.94494,6.94494
1.93656,1.93656,1.93656,1.93656
0.445828,0.445828,0.445828,0.445828
1.02397,1.05136,1.00914,1.02397
2.21743,2.21743,2.21743,2.21743
18.9657,18.9657,18.9657,18.9657
2.06442,2.06442,2.06442,2.06442
7.45248,7.45248,7.45248,7.45248
2.28303,2.28303,2.28303,2.28303
3.18081,3.18081,3.18081,3.18081
0.320462,0.320462,0.320462,0.320462
8.7589,8.7589,8.7589,8.7589
3.25274,3.25274,3.25274,3.25274
0.0811028,0.0811028,0.0811028,0.0811028
5.00199,5.00199,5.00199,5.00199
64.7527,64.8899,64.8009,64.8544
3.11796,3.15545,2.99797,3.24817
0.875599,0.875599,0.875599,0.875599
3.6635,3.6612,3.54437,3.69381
155.598,163.691,144.912,160.654
59.3349,59.47,58.8581,59.4194
5.44838,5.54704,5.40929,5.56143
0.0,0.0,0.0,0.0
25.6283,25.7387,25.2283,25.8776
14.1034,14.1548,13.9639,14.1583
52.2148,52.2148,52.0771,52.2148
11.6119,11.6132,11.6124,11.6146
6.04693,6.04693,6.04693,6.04693
1.42323,1.42323,1.42323,1.42323
1.69305,1.69276,1.68886,1.69276
3.22831,3.25739,3.18507,3.26249
0.773533,0.773533,0.773533,0.773533
12.669,12.669,12.669,12.6726
1.3789,1.3789,1.3789,1.3789
0.599111,0.599111,0.599111,0.599111
0.682368,0.682368,0.682368,0.682368
0.87434,0.87434,0.87434,0.87434
1.50116,1.50116,1.50116,1.50116
0.776265,0.776265,0.776265,0.776265
3.33008,3.33008,3.33008,3.33008
0.0703393,0.0703393,0.0703393,0.0703393
0.834624,0.834624,0.834624,0.834624
0.184876,0.184876,0.184876,0.184876
0.0317229,0.0317229,0.0317229,0.0317229
1.14326,1.14326,1.14326,1.14326
0.598746,0.598746,0.598746,0.598746
6.4664,6.4664,6.4664,6.4664
2.61894,2.61894,2.61894,2.61894
2.714,2.714,2.714,2.714
1.3821,1.3821,1.3821,1.3821
0.194935,0.194935,0.194935,0.194935
0.755397,0.755397,0.755397,0.755397
2.5315,2.5315,2.5315,2.5315
0.0271754,0.0271754,0.0271754,0.0271754
0.268601,0.268601,0.268601,0.268601
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.53895,1.53895,1.53895,1.53895
0.18648,0.18648,0.18648,0.18648
0.279126,0.279126,0.279126,0.279126
0.0309432,0.0309432,0.0309432,0.0309432
0.0,0.0,0.0,0.0
1.07058,1.10627,1.04139,1.10685
5.22596,5.22596,5.22596,5.22596
3.46339,3.46339,3.46339,3.46339
0.222324,0.222324,0.222324,0.222324
8.17279,8.17279,8.17279,8.17279
0.0927972,0.0927972,0.0927972,0.0927972
0.20961,0.20961,0.20961,0.20961
0.10593,0.10593,0.0427526,0.10593
1.00003,1.00003,1.00003,1.00003
0.386377,0.386377,0.386377,0.386377
0.375493,0.445015,0.155013,0.445399
83.4269,91.1333,79.6791,85.7459
4.32779,4.32779,4.27916,4.32779
0.493562,0.493562,0.426425,0.493562
0.234163,0.234163,0.234433,0.234163
0.3425,0.412959,0.522693,0.593245
0.322042,0.322042,0.271252,0.32897
0.730823,0.730977,0.534472,0.774447
0.186053,0.186053,0.0944725,0.186053
0.0309212,0.0305121,0.0146811,0.0305121
0.161073,0.161073,0.161073,0.161073
7.0331,7.09627,5.01454,7.33982
4.99783,4.99783,4.91238,4.99783
3.79751,3.79751,3.52541,3.83888
0.110597,0.110597,0.110597,0.110597
1.96941,1.96941,1.89978,1.98185
0.246088,0.246088,0.246088,0.282373
1.52561,1.56468,1.46807,1.56769
6.74461,6.74461,6.74072,6.74635
1.55613,1.55606,1.4399,1.60164
13.0606,13.1127,12.5213,13.5875
6.17065,6.17065,6.17065,6.25016
7.44043,7.43868,7.25816,7.45896
2.03621,2.05692,1.8374,2.30836
2.30465,2.32605,2.30465,2.30465
0.644401,0.644401,0.644401,0.644401
0.0,0.0,0.0,0.0
0.955423,0.955423,0.955423,0.955423
1.7712,1.7712,1.75311,1.7712
1.51885,1.51885,1.51885,1.51885
4.77195,4.77195,4.77195,4.77195
0.734317,0.734317,0.734317,0.739189
6.47108,6.60609,6.14156,6.68101
0.212022,0.219495,0.0532808,0.284813
0.617954,0.625918,0.617157,0.625918
0.262203,0.303698,0.126168,0.415591
0.302112,0.302112,0.302112,0.302112
