exp0,expC,expT,expP
26.8074,26.463,24.3278,28.2372
4.14446,4.14446,3.93712,4.18914
9.12624,9.12624,9.02583,9.16224
258.295,264.723,235.791,263.448
0.0,0.0,0.0,0.0
7.4467,7.4467,7.31176,7.4467
6.13723,6.06839,5.91908,6.10667
0.0,0.0,0.0,0.0
39.4248,41.976,33.6727,40.7468
9.05822,9.05822,8.57572,9.19223
72.7821,72.7798,71.9599,73.0127
9.03664,9.03664,8.95874,9.07733
23.9949,23.9949,23.7118,24.0768
13.4814,13.4814,13.4328,13.5037
4.30926,4.30926,4.27099,4.3246
0.859264,0.859264,0.859264,0.859264
21.6135,21.6135,20.4322,22.448
15.5483,15.4731,15.348,15.4731
0.171269,0.171269,0.171269,0.171269
11.9343,11.9343,11.9343,11.9343
100.394,99.5937,94.7192,102.931
1.59349,1.56077,1.22032,1.7058
0.433581,0.433581,0.429399,0.439548
1.22946,0.994184,1.38048,1.26313
225.376,231.578,220.297,229.309
347.457,347.377,314.847,353.218
12.6271,12.6166,10.8465,13.6644
0.241389,0.246266,0.303092,0.241348
34.9752,34.5473,25.0927,37.4329
31.479,31.4532,25.8186,33.9067
516.639,516.427,500.016,524.576
3.33078,3.30242,3.19136,3.3344
49.0563,49.0563,48.8857,49.2181
5.10511,5.10511,5.06797,5.1062
9.846,9.79963,8.12465,10.5218
43.3536,43.35,40.653,44.9931
11.2387,11.1498,8.99842,11.564
28.8308,28.8258,27.365,29.4341
34.3939,34.3939,34.2343,34.4616
0.31249,0.31249,0.31249,0.31249
2.3465,2.3465,2.21966,2.40252
7.11762,7.11762,7.11762,7.11762
0.741557,0.741557,0.654437,0.911386
2.37406,2.37406,2.35953,2.37406
1.75643,1.75643,1.66607,1.7688
1.37289,1.35033,0.623106,1.36161
1.23476,1.14222,1.27743,1.18044
0.0,0.0,0.0,0.0
3.27104,3.27104,2.11109,3.27104
3.74155,3.74155,2.18308,3.77413
4.94018,4.49074,4.88312,4.49074
9.10462,9.00161,8.10725,9.00037
17.9233,17.8103,17.4471,18.8947
18.547,18.3447,8.10477,18.6334
1.99496,1.99496,1.87262,2.09619
4.41515,4.11531,1.87863,4.40634
4.65203,4.65203,4.61237,4.65203
1.46008,1.46008,1.42649,1.53422
8.29678,7.7488,8.02113,7.7348
6.274,6.29095,5.65243,6.29095
0.415137,0.415137,0.403246,0.415137
0.0366513,0.0366513,0.0203618,0.0366513
0.160894,0.143017,0.12514,0.160894
7.22149,7.25302,3.09001,7.21991
1.91982,1.90572,1.65671,2.09874
1.4633,1.4534,1.00952,1.4534
0.0,0.0,0.0,0.0
2.97533,2.95692,2.50173,3.34361
4.6976,4.52266,3.47832,4.54455
15.5761,15.3479,15.8965,15.6551
0.0801726,0.0801726,0.0795817,0.0807635
0.0,0.0,0.0,0.0
2.15525,2.15512,1.84426,2.15512
0.348543,0.348543,0.287644,0.355807
2.69101,2.4719,0.996046,2.55921
10.7118,10.4542,10.396,10.2196
2.36653,2.36653,1.7855,2.38376
5.02745,5.15475,2.17608,5.11515
813.944,815.942,762.1,821.39
35.9812,34.9719,33.9825,36.8841
2.7693,2.78194,1.66934,3.03845
1.50599,1.47037,0.814376,1.52623
22.5761,24.2743,20.5666,26.0448
0.200101,0.204056,0.196277,0.260967
0.302156,0.2778,0.121561,0.273706
0.00475183,0.00475183,0.00427665,0.00475183
0.1321,0.0528234,0.0110188,0.0653192
0.0862038,0.0862038,0.080386,0.0862038
2.22362,1.92266,1.08876,2.08945
9.88462,9.37825,8.01033,9.96419
0.806176,0.79988,0.727072,0.936307
0.0,0.0,0.0,0.0
0.17717,0.17717,0.139739,0.217342
0.744744,0.727714,0.482656,0.829166
0.484483,0.474947,0.568625,0.548151
9.56654,9.56654,8.78447,9.81629
6.67122,6.67122,6.55544,6.78223
62.3828,62.3294,58.8134,63.4631
108.888,108.795,99.7853,111.736
101.28,100.935,85.3193,107.811
8.00282,8.00282,6.95641,8.54872
6.16046,6.16046,5.84336,6.33363
3.24133,3.24133,2.96388,3.29434
0.0,0.0,0.0,0.0
26.1008,26.1008,24.7467,26.7354
14.0263,13.8992,12.0139,14.8651
4.95247,4.82203,3.68406,5.44989
25.5436,25.5436,24.1757,26.1998
5.23172,5.23172,4.53514,5.68726
32.348,32.2799,25.194,36.4588
0.537566,0.537566,0.368652,0.639927
1.75062,1.73861,1.04079,2.14124
0.48748,0.451315,0.310733,0.564716
0.107525,0.107525,0.0,0.107525
