exp0,expC,expT,expP
165.271,204.878,156.112,169.708
26.7547,26.7547,26.7547,26.7547
54.4848,54.4848,54.4848,54.4848
488.689,539.071,466.08,500.594
0.0,0.0,0.0,0.0
40.3877,40.3877,40.3877,40.3877
10.4665,10.4665,10.4665,10.4665
3.6934,3.6934,3.6934,3.6934
23.1863,33.2483,19.0836,26.4674
16.4267,16.4267,16.4267,16.4267
190.057,190.256,190.057,190.256
25.7036,25.7036,25.7036,25.7036
65.1565,65.1565,65.1565,65.1565
36.2444,36.2444,36.2444,36.2444
28.7231,28.7231,28.7231,28.7231
1.0118,1.0118,1.0118,1.0118
50.6412,50.6412,50.6412,50.6412
33.8091,33.8091,33.8091,33.8091
0.92642,0.92642,0.92642,0.92642
14.1601,14.1601,14.1601,14.1601
174.643,211.471,165.939,176.897
10.104,11.939,9.59853,11.9837
6.42665,6.52809,6.43733,6.43733
43.8745,44.6458,43.1001,42.5732
585.202,718.772,604.278,602.612
574.757,637.138,570.662,580.898
79.6228,90.5614,75.1378,80.7785
8.40082,9.79361,12.4844,9.90358
71.8142,94.145,61.1923,74.7921
75.0533,85.224,73.0223,76.2268
835.346,837.066,833.317,834.943
38.3921,40.0625,38.7785,39.0428
108.231,109.798,108.484,108.484
24.7198,24.7777,24.7198,24.7198
10.4443,17.3489,9.15883,12.4527
112.443,113.675,111.851,112.443
18.3187,18.3187,18.0553,18.3187
87.6339,89.7754,88.1362,88.6603
47.2062,47.2062,47.2062,47.2062
4.95666,4.95666,4.95666,4.95666
13.0843,13.0843,13.0843,13.0843
12.2996,12.2996,12.2996,12.2996
7.76106,7.76106,7.76106,7.76106
12.7742,12.7742,12.7742,12.7742
21.5836,22.0398,21.6252,21.678
8.44899,8.44899,8.44899,8.44899
2.66408,2.66408,2.66408,2.66408
0.721218,0.721218,0.721218,0.721218
6.38611,6.38611,6.38611,6.38611
4.09965,4.09965,4.09965,4.09965
3.89607,3.89607,3.89607,3.89607
31.1375,31.1375,31.1375,31.1375
54.0032,54.0032,54.0032,54.0032
36.8018,36.8018,36.8018,36.8018
12.0788,12.0788,12.0788,12.0788
9.18987,9.18987,9.18987,9.18987
6.52608,6.52608,6.52608,6.52608
29.3569,29.3569,29.5623,29.3569
8.14255,8.14255,8.14255,8.14255
7.56844,7.56844,7.56844,7.56844
0.802736,0.802736,0.802736,0.802736
0.0271131,0.0271131,0.0271131,0.0271131
3.54102,3.54102,3.54102,3.54102
31.2198,31.2198,31.2198,31.2198
9.0151,9.0151,9.0151,9.0151
4.07648,4.07648,4.07648,4.07648
0.850825,0.850825,0.850825,0.850825
47.8059,49.3237,47.5486,48.5807
41.726,41.726,41.726,41.726
24.8576,24.8576,24.8576,24.8576
4.01947,4.01947,4.01947,4.01947
31.5407,31.5407,31.8765,31.4584
9.96405,9.96405,9.97933,9.96405
3.76537,3.76537,3.76537,3.76537
10.7364,10.7364,10.7364,10.7364
21.1994,21.1994,21.1994,21.1994
6.88948,6.88948,6.88948,6.88948
22.1506,22.3643,22.3643,22.1569
1330.74,1538.36,1258.66,1361.53
56.5896,56.7934,56.7934,56.7934
4.06225,4.06225,4.06225,4.06225
17.5925,17.5925,17.5925,17.5925
12.8059,17.5958,23.4546,13.3685
8.88267,11.4469,9.48554,7.74595
17.8554,20.1875,20.3956,20.227
2.72285,3.19152,2.27221,3.42542
5.50459,5.3148,5.29247,5.32069
6.00221,6.00221,5.76996,6.00221
40.9602,43.1068,34.5805,40.4938
76.8682,77.3378,77.3378,77.102
21.6745,23.6313,20.6416,22.8892
0.0946174,0.272572,0.065779,0.099229
10.5973,15.6847,8.03937,12.1752
4.43322,3.93686,3.69197,3.94418
17.2775,19.124,13.6423,18.0936
66.749,75.532,66.1474,68.5315
9.23947,11.4171,9.14501,10.0362
157.241,171.27,158.007,161.013
212.378,218.096,210.954,213.361
316.411,325.671,310.993,314.605
49.1968,57.6544,44.9358,51.3288
52.3679,55.959,51.9869,53.165
11.6334,11.6334,11.6334,11.6334
0.0411673,0.0411673,0.0411673,0.0411673
56.4015,60.8099,56.4356,57.246
90.2533,90.815,89.5842,90.815
14.5219,16.9362,13.5525,14.7778
68.5246,68.8205,67.4323,67.4323
17.2774,25.183,14.2807,17.2971
120.877,142.505,115.589,121.344
1.14325,3.43495,0.857113,1.44319
15.0403,24.3697,11.8982,16.9071
7.26786,9.52058,3.32029,5.29966
1.03416,1.03416,1.03416,1.03416
