RoG,SAM,NAM,AFR,EUR,WCA,SAS,EAS,AUP,OCE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.035,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8016,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.2749
0.0,0.0,0.0,0.0,0.0,0.0,0.0,930.138,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4197,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.472,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68607,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.819,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3688,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.478,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6315,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0012,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0965,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6212,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0076,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.4772,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7091,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.922644,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,14.132,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,316.372,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,84.3932,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.50252,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,78.5303,0.0,0.0,0.0
0.0,0.0,896.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,907.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,193.722,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,28.6691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,278.603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,109.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,834.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,71.1266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,110.389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,25.4119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,39.4482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,131.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,18.3141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,90.3488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,47.0141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.93814,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,13.0428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,12.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7.73112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,12.7324,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,22.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,8.47556,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.67434,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.72139,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6.40945,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4.1204,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.91819,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,31.348,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,54.1601,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,36.9472,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,12.0934,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,9.21785,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6.55488,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,29.6213,0.0,0.0,0.0,0.0,0.0
