North America,South and Central America,Europe,North Africa and Middle East,Tropical Africa,Former Soviet Union,China,South and South East Asia,Pacific Developed Region
-4.09,481.93,16.7,22.64,129.92,205.22,119.69,325.96,89.48
-5.48,517.55,16.32,22.08,135.24,201.87,122.35,332.01,89.3
-6.76,546.07,16.01,21.55,139.22,198.82,124.84,347.12,89.09
-7.96,572.04,15.78,21.03,142.32,196.18,127.34,356.56,88.83
-9.08,593.94,15.61,20.52,144.85,192.92,129.51,365.27,88.56
-9.07,603.87,15.48,21.63,146.24,181.17,129.61,374.12,88.25
-9.03,612.03,15.39,21.82,147.36,169.52,130.71,382.93,87.94
-8.97,619.05,15.35,21.96,148.28,157.92,131.78,397.51,87.61
-8.87,629.61,15.33,21.73,149.06,147.84,132.89,407.46,87.04
-9.26,638.01,13.57,21.48,149.73,114.46,132.78,416.75,86.46
-9.53,567.12,11.18,21.52,184.52,100.1,104.98,407.73,50.23
-9.76,547.71,8.64,21.57,190.04,85.37,101.07,410.06,39.11
-9.93,531.05,5.96,21.62,194.18,71.25,97.25,474.68,29.74
-9.56,516.35,3.15,21.66,197.43,64.85,93.7,492.08,26.12
-9.15,503.09,0.21,21.71,200.09,58.78,90.12,505.73,23.24
-8.74,501.64,-2.64,21.75,201.6,55.92,86.52,619.65,20.85
-8.32,500.9,-5.64,21.78,202.82,50.36,82.85,655.9,18.78
-7.99,500.34,-8.79,21.81,203.84,44.82,79.1,682.44,16.94
-7.48,507.58,-12.08,21.84,233.7,39.5,75.22,703.56,15.26
-7.09,511.59,-14.09,21.85,238.69,35.44,73.78,721.19,13.69
-7.01,516.39,-15.34,17,256.24,33.41,73.42,979.87,15.58
-5.8,517.03,-16.39,16.56,261.24,30.73,63.74,1046.49,14.94
-4.3,516.74,-17.23,16.44,265.19,28.82,60.42,1092.35,14.13
-2.55,552.39,-17.88,18.04,267.79,27.16,57.65,1126.06,12.75
-0.55,563.87,-18.34,19.8,269.92,25.77,55.55,1152.18,11.29
1.67,567.57,-18.62,20.37,318.45,23.36,53.9,1173.82,9.77
4.08,592.06,-18.72,21.02,326.58,22.57,52.43,1154.87,8.22
6.69,596.17,-18.65,21.72,332.71,21.85,51.09,1166.73,6.65
9.47,579.12,-18.42,22.47,337.54,21.19,49.85,1180.05,5.29
12.42,577.16,-18.08,23.24,341.5,20.11,48.69,1094.39,3.92
