USA,Canada,S+C America,Europe,Nafrica/Meast,Trop.Africa,Frmr USSR,China,S+SE Asia,Pac.Dev.Reg
147.611,50.7684,97.964,49.4719,22.6947,24.9674,63.6836,173.8119,159.2155,25.6682
142.9251,52.9231,85.5031,49.8493,22.7928,27.1705,65.2347,177.7884,154.6764,25.9149
138.3415,55.0561,74.5948,50.2265,22.8846,29.3502,66.5887,178.4079,151.4013,26.1551
133.4718,57.1692,70.4942,50.6646,22.9306,31.5171,67.8932,178.7551,155.8358,26.3889
129.9933,57.771,67.1942,51.0941,22.9713,34.1071,69.2063,183.736,155.504,26.6165
126.1382,58.3564,64.4819,51.5143,23.0071,36.4256,70.4852,188.7712,155.3742,26.8378
124.4466,58.9267,62.2083,51.9245,23.0298,38.731,71.7574,193.8543,155.1679,27.0529
118.607,59.4833,60.0345,52.324,23.0483,41.0865,73.0559,198.9584,154.9375,27.2616
112.4582,60.0272,104.7568,52.7692,23.0627,43.0389,74.3848,204.0601,154.613,27.5729
85.4772,60.5644,117.2792,53.2021,23.0735,44.8857,75.7471,206.7472,154.2994,27.7921
76.428,61.0907,127.4191,53.6224,23.0809,46.6949,77.0566,209.2309,154.3832,27.9986
67.1982,61.607,135.9285,54.0294,23.085,48.1746,78.4035,211.5901,154.4794,28.1771
56.4716,62.114,143.3089,54.4226,23.0861,49.6087,79.7828,213.8495,154.5862,28.3465
49.8153,62.6123,145.3815,54.0845,31.7032,50.9836,81.1955,216.0317,150.1051,28.574
93.1593,52.6394,146.9751,53.6247,33.6301,52.3024,82.5309,216.9146,149.1579,28.8094
92.9422,50.9567,148.146,53.0481,35.3567,54.0675,83.099,217.7548,148.569,29.0516
116.9714,49.3562,148.9917,52.359,35.792,55.8185,83.6993,219.5039,148.2114,29.2959
191.6778,47.8221,150.0502,51.5618,36.1232,57.3835,84.3022,221.6063,148.0027,29.5418
187.6267,46.3422,161.8485,50.6588,36.7444,59.1174,84.9077,223.6667,147.9707,29.7887
84.9591,44.9068,165.0499,49.6554,37.3055,60.7769,85.5199,224.5684,147.9992,30.0363
77.4386,43.5084,167.5446,48.5551,37.8209,62.7908,86.1474,225.4108,148.0654,30.2841
70.1734,42.1409,169.5075,47.3612,38.3008,64.6566,84.5532,219.9642,148.1542,30.532
67.8054,40.7992,171.0651,46.0769,38.7529,67.5293,82.8035,219.8235,148.2555,30.7795
59.3827,39.4793,172.778,44.7582,39.1801,69.2123,80.8993,219.7536,165.4944,31.0238
32.8331,38.178,174.6317,43.4031,39.5866,71.1387,78.842,219.7429,169.7137,31.2645
33.3753,36.8924,176.2967,42.0143,39.9756,73.0465,76.6881,219.7764,172.8427,31.5016
29.503,35.6201,177.811,40.5942,40.3493,75.3304,74.5129,219.7679,175.2349,31.7348
16.488,34.3592,179.2032,39.1451,40.7098,77.5506,71.1462,219.7826,177.1276,31.9639
14.9802,33.108,177.8057,37.6905,41.0343,79.5326,54.4211,219.8139,179.6268,32.1887
27.5594,33.0949,177.2661,36.2326,41.3486,81.747,47.5128,231.9072,182.1978,32.4092
13.2181,33.0887,176.8667,34.7731,41.6535,84.0349,40.8358,244.604,184.7197,32.625
8.9796,33.0881,176.6292,33.314,41.8935,86.348,34.3535,257.7192,187.1801,32.8362
0.1294,33.0921,176.39,31.8572,42.1256,88.6447,28.0367,271.1625,189.5739,33.0425
-4.8479,33.0998,179.4022,30.4041,42.3455,91.2046,24.0287,284.8639,263.1423,33.2438
5.9298,32.9119,182.4977,28.9564,42.5586,93.5386,20.4267,286.9466,281.6554,33.4401
-5.2068,32.7261,185.7892,27.5156,42.7655,97.3423,17.1788,288.6894,295.3988,33.6311
-10.5706,32.5417,189.2369,26.083,42.9664,101.1581,14.3053,290.244,305.118,33.8168
-11.381,32.3582,192.7775,24.6601,43.1618,105.1777,13.0821,290.1121,313.3894,33.997
3.2321,32.1655,251.684,23.5287,34.397,109.2565,126.9132,289.8171,319.7975,67.5149
-42.0452,32.8542,270.4083,22.5462,32.6365,105.8839,149.6418,308.0985,327.7605,76.8785
-66.2967,32.6123,285.7957,21.707,30.8325,108.939,171.4843,327.0376,284.302,84.515
-64.4056,32.3676,298.6844,21.0057,28.6106,111.9529,192.6664,346.4916,280.9997,86.5883
-73.6215,32.1213,309.8231,20.4372,26.3933,115.2903,213.7468,366.3485,281.0364,87.9184
-65.492,31.8727,316.4737,19.9971,25.708,118.5831,236.1473,386.5128,280.3532,88.7565
-68.0023,31.6218,322.0027,19.6809,25.0441,121.9669,258.2474,388.5816,280.6665,89.258
-32.9847,31.3693,326.6672,19.4847,24.4051,124.7583,279.9521,381.7426,275.8913,89.5234
-71.7656,31.1156,330.7125,19.4048,23.7924,127.643,208.3413,362.1201,276.8056,89.6187
-74.8924,30.8611,334.2908,19.4378,23.2061,130.4621,210.886,343.0883,278.8759,89.5878
-88.5352,30.6061,449.5846,16.697,22.6358,132.7179,205.2209,323.0807,282.4036,89.4762
-86.2373,30.7092,484.3614,16.3182,22.0831,133.626,201.8684,296.1633,271.7556,89.3046
-92.2613,30.8185,512.0131,16.0138,21.5468,138.8699,198.8176,285.6024,274.4314,89.0873
-95.4137,30.9329,534.3961,15.778,21.0252,140.7341,196.1792,284.9992,269.6573,88.8349
-99.9211,31.0519,553.6736,15.6057,20.5169,143.4348,192.9175,284.2856,274.832,88.5552
-67.8978,31.1747,563.7305,15.4787,21.6252,142.4889,181.1651,283.1213,280.1304,88.254
-63.7806,31.1614,572.3911,15.393,21.8182,143.5641,169.5244,282.1658,285.6202,87.936
-62.816,31.1508,580.3455,15.3453,21.9618,139.4276,157.9246,281.7422,225.0237,87.605
-51.6498,31.1422,587.0378,15.3323,21.7325,146.5198,147.835,281.2201,216.9035,87.0376
-53.0083,31.1351,593.0623,13.5652,21.4815,139.7948,114.463,280.7878,211.9917,86.4628
-89.3417,31.129,536.7992,11.1776,21.5241,143.0942,100.097,280.6546,206.3663,50.2289
-80.9163,30.0967,524.9468,8.641,21.5707,146.8347,85.3721,282.8365,205.6897,39.1079
-92.91,30.1555,515.5985,5.9633,21.6182,150.7956,71.2519,284.6924,231.7871,29.7374
-92.0859,30.2295,508.3358,3.1514,21.6649,154.657,64.85,287.214,250.4113,26.121
-81.5069,30.3165,502.6092,0.212,21.7099,144.4895,58.7805,291.2875,253.9577,23.2405
-64.7989,30.4137,503.0202,-2.6384,21.75,158.9979,55.9196,303.4486,284.9271,20.8475
-60.201,30.5189,504.1784,-5.6405,21.7849,142.3633,50.3584,306.3707,306.5672,18.7813
-54.3954,30.6301,505.3112,-8.789,21.8141,149.0206,44.8217,285.3496,321.2245,16.9395
-51.7024,30.7458,506.2329,-12.0787,21.8375,150.3189,39.4952,248.0605,335.6523,15.2555
-53.9099,30.8645,507.8076,-14.0904,21.8546,144.613,35.4417,209.5193,344.1128,13.6855
-50.179,30.9882,509.9935,-15.3441,16.997,166.7161,33.4094,168.7846,386.4706,15.5846
-38.0416,27.775,729.4026,-16.3867,16.5587,181.8709,30.7262,122.8564,393.2972,14.9364
-38.8209,26.9791,787.5435,-17.228,16.4446,195.3451,28.8236,101.4697,398.1764,14.1264
-42.4746,26.2131,833.6449,-17.8771,18.0412,205.462,27.161,93.771,403.4136,12.7488
-39.433,25.4712,872.9568,-18.3425,19.8024,197.0632,25.7685,82.7284,405.8961,11.2882
-34.2624,24.7489,902.4733,-18.6211,20.3708,193.4076,23.3571,76.7877,403.0736,9.7724
-31.0856,24.2385,917.0016,-18.7217,21.0176,193.3061,22.5708,70.9659,403.5852,8.2217
-21.5886,23.7394,926.4348,-18.6509,21.7215,202.7612,21.849,64.8287,410.7334,6.6458
-21.7745,23.2494,932.6304,-18.4152,22.4675,197.1493,21.1859,66.5984,418.5888,5.288
-31.9488,22.7669,936.8016,-18.0804,23.2448,201.3556,20.1075,61.103,424.4609,3.9161
-31.9488,22.2902,938.5569,-18.0804,23.2448,195.5283,20.1075,50.8913,507.9562,3.9161
-31.9488,21.5765,803.6967,-18.0804,23.2448,214.2546,20.1075,39.8241,528.4274,3.9161
-31.9488,20.859,767.5051,-18.0804,23.2448,224.8938,20.1075,39.5205,543.7326,3.9161
-31.9488,20.1381,737.2515,-18.0804,23.2448,243.6705,20.1075,43.0188,539.2242,3.9161
-31.9488,19.4139,713.3743,-18.0804,23.2448,262.8047,20.1075,31.0766,537.687,3.9161
-31.9488,18.6869,692.0782,-18.0804,23.2448,260.9458,20.1075,27.3201,534.9972,3.9161
-31.9488,18.4221,678.5458,-18.0804,23.2448,247.4983,20.1075,21.0883,528.509,3.9161
-31.9488,18.1548,667.0977,-18.0804,23.2448,269.3844,20.1075,12.0691,523.2374,3.9161
-31.9488,17.8853,656.4411,-18.0804,23.2448,263.9341,20.1075,5.0331,508.6944,3.9161
-31.9488,17.6121,649.566,-18.0804,23.2448,260.8636,20.1075,-12.9153,497.5139,3.9161
-31.9488,17.6121,643.1904,-18.0804,23.2448,261.6969,20.1075,-12.9153,478.5329,3.9161
-31.9488,17.6121,625.5099,-18.0804,23.2448,258.5236,20.1075,-12.9153,631.696,3.9161
-31.9488,17.6121,616.4536,-18.0804,23.2448,225.5212,20.1075,-12.9153,669.2975,3.9161
-31.9488,17.6121,609.3525,-18.0804,23.2448,225.7864,20.1075,-12.9153,697.8432,3.9161
-31.9488,17.6121,606.4342,-18.0804,23.2448,239.239,20.1075,-12.9153,619.6937,3.9161
