,BC,DUST,NO3,POA,SO4,SOA,SALT
1850,0.0523088,12.6539,0.0553041,1.04995,0.708359,0.17883,6.43959
2000,0.129917,12.9059,0.0775897,1.589,2.25308,0.190267,6.38246
