,BC,DUST,NO3,POA,SO4,SOA,SALT
1850,0.0336979,25.8688,nan,0.352592,0.48922,0.901673,9.14281
2000,0.0817482,25.4741,nan,0.577232,1.53038,1.0481,9.25749
