,BC,DUST,NO3,POA,SO4,SOA,SALT
1850,0.0660492,21.809,0.867125,1.04927,0.791888,0.695741,11.3254
2000,0.173719,22.1702,1.70716,1.50943,1.96574,0.785583,11.3701
