,BC,DUST,NO3,POA,SO4,SOA,SALT
1850,0.103192,34.2539,0.0451778,0.622903,0.628264,1.09533,25.5519
2000,0.3141,35.0979,0.338834,1.01949,1.51733,1.09444,25.6052
