,BC,DUST,NO3,POA,SO4,SOA,SALT
1850,0.0545369,17.7746,2.50089,1.08047,0.714631,0.607134,4.69381
2000,0.138846,17.6008,4.70506,1.55467,1.24743,0.809526,4.7693
