Gas Flaring,Gas Supply,Coal Mining,Biomass Burning,Livestock,Rice,Landfills
17.4,6.45,24.225,22.275,56.025,61.875,18.525
17.625,6.975,24.225,20.55,57.15,62.625,19.05
18.825,7.275,24.45,19.95,58.275,63.375,19.5
21.975,7.65,24.525,20.25,59.4,64.125,20.025
21.375,7.725,24.3,20.25,60.6,64.875,20.475
18.6,7.8,25.575,20.25,61.8,65.625,21
21.825,8.1,26.025,21.75,62.85,66.225,21.525
20.775,8.1,26.85,22.2,63.975,66.9,22.125
21.375,8.475,27.225,22.425,65.025,67.425,22.65
20.025,8.925,28.5,23.175,66.15,68.025,23.25
17.775,9.075,29.1,23.4,67.35,68.625,23.85
14.4,9.225,28.5,25.125,68.55,69.225,24.45
13.8,9.15,29.7,25.65,69.75,69.825,25.05
12.6,9.225,30.075,25.875,70.95,70.425,25.65
11.625,9.9,31.275,26.7,72.225,71.025,26.325
11.4,10.275,33.9,27,73.5,71.625,27
10.8,10.5,34.8,27.9,74.7,72.15,27.375
10.2,11.325,35.85,28.35,75.975,72.675,27.675
10.575,11.925,36.75,28.5,77.25,73.5,28.05
9.975,12.3,37.125,28.275,78.525,73.725,28.35
12,12.825,35.85,28.2,79.875,74.25,28.725
14.175,12.9,34.8,28.125,81.15,74.625,29.1
12.6,12.75,35.25,28.125,82.35,75,29.475
11.4,13.125,34.125,28.05,83.55,75.3,29.85
11.4,13.5,34.725,28.05,84.825,75.6,30.225
