CO2,GHG Other,O3 (Trop),O3 (Strat),Aerosol (Total),LUC,H2O (Strat),BC Snow,Contrails,Solar,Volcano
0.002,0.018,0.011,0.0,-0.048,-0.011,0.001,0.004,0.0,-0.036,0.0
0.003,0.018,0.012,0.0,-0.05,-0.011,0.001,0.004,0.0,0.017,-0.067
0.003,0.018,0.012,0.0,-0.052,-0.012,0.001,0.004,0.0,-0.034,-0.071
0.003,0.018,0.013,0.0,-0.054,-0.012,0.002,0.004,0.0,-0.069,-0.018
0.004,0.018,0.013,0.0,-0.055,-0.012,0.002,0.005,0.0,-0.057,-0.004
0.004,0.018,0.014,0.0,-0.057,-0.013,0.002,0.005,0.0,-0.028,-0.001
0.006,0.018,0.014,0.0,-0.059,-0.013,0.002,0.005,0.0,-0.065,-7.857
0.009,0.018,0.014,0.0,-0.061,-0.014,0.002,0.005,0.0,-0.059,-0.522
0.012,0.018,0.015,0.0,-0.062,-0.014,0.002,0.005,0.0,-0.046,-0.121
0.017,0.018,0.015,0.0,-0.064,-0.014,0.002,0.005,0.0,-0.022,-0.027
0.021,0.018,0.016,0.0,-0.066,-0.015,0.002,0.005,0.0,-0.001,-0.002
0.027,0.018,0.016,0.0,-0.068,-0.015,0.002,0.006,0.0,0.034,-0.133
0.033,0.019,0.017,0.0,-0.07,-0.016,0.002,0.006,0.0,-0.033,-0.041
0.038,0.019,0.017,0.0,-0.071,-0.016,0.002,0.006,0.0,-0.058,-0.009
0.044,0.019,0.017,0.0,-0.073,-0.016,0.002,0.006,0.0,-0.056,-0.001
0.05,0.02,0.018,0.0,-0.075,-0.017,0.002,0.006,0.0,-0.051,0.0
0.055,0.02,0.018,0.0,-0.077,-0.017,0.002,0.006,0.0,-0.065,0.0
0.06,0.021,0.019,0.0,-0.079,-0.018,0.002,0.006,0.0,-0.064,-0.157
0.066,0.022,0.019,0.0,-0.08,-0.018,0.002,0.007,0.0,-0.027,0.0
0.07,0.023,0.02,0.0,-0.082,-0.018,0.002,0.007,0.0,-0.033,-0.781
0.075,0.023,0.02,0.0,-0.084,-0.019,0.002,0.007,0.0,-0.043,-0.071
0.079,0.024,0.02,0.0,-0.086,-0.019,0.002,0.007,0.0,-0.045,-0.016
0.084,0.025,0.021,0.0,-0.087,-0.02,0.003,0.007,0.0,-0.047,-0.002
0.088,0.025,0.021,0.0,-0.089,-0.02,0.003,0.007,0.0,-0.055,0.0
0.092,0.026,0.022,0.0,-0.091,-0.02,0.003,0.007,0.0,-0.021,-0.154
0.096,0.026,0.022,0.0,-0.093,-0.021,0.003,0.008,0.0,-0.01,-0.048
0.099,0.026,0.023,0.0,-0.095,-0.021,0.003,0.008,0.0,-0.033,-0.011
0.103,0.026,0.023,0.0,-0.096,-0.022,0.003,0.008,0.0,-0.04,-0.23
0.106,0.026,0.023,0.0,-0.098,-0.022,0.003,0.008,0.0,-0.046,-0.07
0.109,0.026,0.024,0.0,-0.1,-0.022,0.003,0.008,0.0,-0.036,-0.016
0.112,0.026,0.024,0.0,-0.102,-0.023,0.003,0.008,0.0,-0.057,-0.002
0.114,0.026,0.025,0.0,-0.104,-0.023,0.003,0.008,0.0,-0.065,0.0
0.116,0.026,0.025,0.0,-0.105,-0.024,0.003,0.009,0.0,-0.065,-6.947
0.117,0.026,0.025,0.0,-0.107,-0.024,0.003,0.009,0.0,-0.07,-2.254
0.118,0.027,0.026,0.0,-0.109,-0.024,0.003,0.009,0.0,-0.072,-0.836
0.119,0.027,0.026,0.0,-0.111,-0.025,0.003,0.009,0.0,-0.072,-0.308
0.118,0.028,0.027,0.0,-0.112,-0.025,0.004,0.009,0.0,-0.069,-0.109
0.117,0.029,0.027,0.0,-0.114,-0.026,0.004,0.009,0.0,-0.064,0.0
0.115,0.03,0.028,0.0,-0.116,-0.026,0.004,0.009,0.0,-0.062,-11.629
0.113,0.031,0.028,0.0,-0.118,-0.026,0.004,0.01,0.0,-0.052,-4.553
0.11,0.032,0.028,0.0,-0.12,-0.027,0.004,0.01,0.0,-0.048,-2.419
0.107,0.034,0.029,0.0,-0.121,-0.027,0.004,0.01,0.0,-0.053,-0.915
0.104,0.035,0.029,0.0,-0.123,-0.028,0.004,0.01,0.0,-0.054,-0.337
0.101,0.037,0.03,0.0,-0.125,-0.028,0.004,0.01,0.0,-0.059,-0.039
0.099,0.038,0.03,0.0,-0.127,-0.028,0.004,0.01,0.0,-0.065,0.0
0.097,0.04,0.031,0.0,-0.128,-0.029,0.004,0.01,0.0,-0.066,0.0
0.096,0.041,0.031,0.0,-0.13,-0.029,0.004,0.011,0.0,-0.068,0.0
