CO2,CH4,N2O,FGAS,ODS,OC,BC,SOX,NOX,BBAER,DUST,CLOUD,O3S,O3T,H2OS,LCC,BCSNOW,VOLC,SOLAR
1.5327,0.479349,0.143001,0.0129504,0.319561,-0.0466785,0.186982,-0.383899,-0.0965845,0.023583,-0.0961873,-0.686086,-0.0611506,0.373672,0.0820173,-0.192375,0.0954649,0.228674,0.181191
1.5559,0.479231,0.14503,0.0141809,0.320331,-0.0478466,0.189391,-0.386164,-0.0988064,0.0228134,-0.0969686,-0.690713,-0.0592393,0.373532,0.081997,-0.193937,0.0962426,0.232444,0.190562
1.5855,0.479785,0.147437,0.0155953,0.321029,-0.0490211,0.193791,-0.39016,-0.0991473,0.0248743,-0.0978269,-0.693303,-0.0574986,0.373914,0.0820924,-0.195654,0.0973574,0.232444,0.174151
1.61755,0.480748,0.14989,0.017084,0.321281,-0.0496549,0.196804,-0.3941,-0.0994884,0.0269294,-0.0986996,-0.695994,-0.0551123,0.37475,0.0822583,-0.197399,0.0984169,0.232444,0.130187
1.64679,0.480862,0.152086,0.0186534,0.321257,-0.0498851,0.198935,-0.398034,-0.0998295,0.0289768,-0.0995682,-0.698667,-0.0522666,0.375368,0.082278,-0.199136,0.0994726,0.232444,0.0860781
1.67513,0.480365,0.154397,0.0202831,0.321146,-0.050044,0.200407,-0.400832,-0.0999777,0.0304204,-0.1,-0.700433,-0.0497123,0.37583,0.0821922,-0.200825,0.100205,0.184018,0.0592681
1.70352,0.480658,0.156801,0.0219181,0.320488,-0.0500614,0.200563,-0.401358,-0.0997395,0.030661,-0.1,-0.7004,-0.0477661,0.376493,0.0822427,-0.202427,0.100293,0.0677962,0.0431769
1.73086,0.481733,0.159001,0.0235971,0.31953,-0.0500082,0.200062,-0.400725,-0.0993049,0.0303081,-0.1,-0.699461,-0.0461083,0.376633,0.0824279,-0.203934,0.100059,0.0,0.0322656
1.75906,0.483012,0.161244,0.0253202,0.31862,-0.0499552,0.199559,-0.400058,-0.0988662,0.0299656,-0.1,-0.698505,-0.0443753,0.3761,0.0826483,-0.205345,0.0998246,0.0,0.025655
1.78867,0.48446,0.16353,0.0270581,0.317643,-0.0499021,0.199056,-0.399379,-0.0984258,0.0296264,-0.1,-0.697543,-0.0424774,0.3756,0.0828978,-0.206661,0.0995895,0.0,0.0725287
1.81815,0.485948,0.16586,0.0288403,0.316597,-0.0498585,0.198424,-0.397651,-0.0979426,0.0293927,-0.1,-0.696265,-0.0405882,0.375103,0.0831542,-0.207889,0.0992828,0.0,0.146252
1.84689,0.487475,0.168231,0.0306613,0.31552,-0.0498335,0.197535,-0.393829,-0.0973735,0.0293698,-0.1,-0.694352,-0.0389831,0.374617,0.0834173,-0.209044,0.0988327,0.0,0.181191
1.8752,0.488878,0.170605,0.0324623,0.314403,-0.0498179,0.196517,-0.38896,-0.0967614,0.0294523,-0.1,-0.692115,-0.0370653,0.374001,0.0836591,-0.210132,0.098311,0.0,0.190562
1.90313,0.490003,0.17294,0.0341882,0.31325,-0.0498024,0.1955,-0.384091,-0.0961494,0.0295348,-0.1,-0.689867,-0.0349986,0.373217,0.083853,-0.211153,0.0977893,0.0,0.174151
1.93079,0.490886,0.175235,0.0358426,0.312062,-0.0497868,0.194482,-0.379221,-0.0955373,0.0296173,-0.1,-0.687609,-0.0332296,0.372372,0.0840052,-0.212107,0.0972675,0.0,0.130187
1.95822,0.491562,0.177491,0.0374291,0.31084,-0.0497712,0.193465,-0.374352,-0.0949252,0.0296998,-0.1,-0.685339,-0.0315318,0.371474,0.0841217,-0.212996,0.0967458,0.0,0.0860781
1.98536,0.49205,0.179706,0.0389511,0.309571,-0.0497556,0.192447,-0.369483,-0.0943132,0.0297823,-0.1,-0.683059,-0.02987,0.370528,0.0842057,-0.213817,0.0962241,0.0,0.0592681
2.01214,0.492358,0.181882,0.0404116,0.308264,-0.04974,0.19143,-0.364613,-0.0937011,0.0298648,-0.1,-0.680767,-0.0282318,0.369537,0.0842588,-0.214572,0.0957023,0.0,0.0431769
2.03853,0.492495,0.184019,0.0418136,0.306933,-0.0497244,0.190412,-0.359744,-0.0930891,0.0299473,-0.1,-0.678464,-0.0266183,0.368502,0.0842824,-0.215261,0.0951806,0.0,0.0322656
2.06455,0.492474,0.186117,0.0431601,0.305566,-0.0497088,0.189395,-0.354874,-0.092477,0.0300298,-0.1,-0.67615,-0.0245843,0.367428,0.0842787,-0.215883,0.0946589,0.0,0.025655
2.09023,0.492305,0.188176,0.044454,0.304154,-0.0496916,0.188488,-0.349687,-0.0918815,0.030361,-0.1,-0.673724,-0.0224917,0.366316,0.0842497,-0.216421,0.0941947,0.0,0.0725287
2.1155,0.491972,0.190198,0.045697,0.302685,-0.0496711,0.187801,-0.343865,-0.091319,0.0311895,-0.1,-0.671087,-0.0208815,0.365163,0.0841923,-0.216838,0.0938458,0.0,0.146252
2.14045,0.491652,0.19222,0.0468795,0.30115,-0.0496491,0.187225,-0.337725,-0.090773,0.0322666,-0.1,-0.668336,-0.0194283,0.364119,0.0841371,-0.217118,0.0935544,0.0,0.181191
