CO2,CH4,N2O,FGAS,ODS,OC,BC,SOX,NOX,BBAER,DUST,CLOUD,O3S,O3T,H2OS,LCC,BCSNOW,VOLC,SOLAR
1.5327,0.479349,0.143001,0.0129504,0.319561,-0.0466785,0.186982,-0.383899,-0.0965845,0.023583,-0.0961873,-0.686086,-0.0611506,0.373672,0.0820173,-0.192375,0.0954649,0.228674,0.181191
1.5559,0.479231,0.14503,0.0141809,0.320331,-0.0478466,0.189391,-0.386164,-0.0988064,0.0228134,-0.0969686,-0.690713,-0.0592393,0.373532,0.081997,-0.193937,0.0962426,0.232444,0.190562
1.5855,0.479785,0.147437,0.0155953,0.321029,-0.0490211,0.193791,-0.39016,-0.0991473,0.0248743,-0.0978269,-0.693303,-0.0574986,0.373914,0.0820924,-0.195654,0.0973574,0.232444,0.174151
1.61755,0.480748,0.14989,0.017084,0.321281,-0.0496549,0.196804,-0.3941,-0.0994884,0.0269294,-0.0986996,-0.695994,-0.0551123,0.37475,0.0822583,-0.197399,0.0984169,0.232444,0.130187
1.64679,0.480862,0.152086,0.0186534,0.321257,-0.0498851,0.198935,-0.398034,-0.0998295,0.0289768,-0.0995682,-0.698667,-0.0522666,0.375368,0.082278,-0.199136,0.0994726,0.232444,0.0860781
1.67513,0.480365,0.154397,0.0202831,0.321146,-0.0500736,0.200993,-0.400532,-0.100145,0.0313529,-0.1,-0.700713,-0.0497123,0.37583,0.0821922,-0.200839,0.100496,0.184018,0.0592681
1.70352,0.480656,0.156801,0.0219181,0.320488,-0.0501794,0.202907,-0.40016,-0.100408,0.0343897,-0.1,-0.701522,-0.0477661,0.376492,0.0822425,-0.202497,0.101455,0.0677962,0.0431769
1.73086,0.481842,0.158978,0.023616,0.31953,-0.0502424,0.204746,-0.398336,-0.100643,0.0377634,-0.1,-0.701701,-0.0461083,0.377178,0.0824467,-0.204116,0.102381,0.0,0.0322656
1.75906,0.483446,0.161154,0.025396,0.31862,-0.0503034,0.206582,-0.396485,-0.100873,0.0411468,-0.1,-0.701861,-0.0443753,0.377764,0.0827231,-0.205696,0.103306,0.0,0.025655
1.78958,0.485415,0.163327,0.027243,0.317611,-0.0503638,0.208416,-0.394623,-0.101102,0.044534,-0.1,-0.702011,-0.0424774,0.378435,0.0830624,-0.207237,0.104229,0.0,0.0725287
1.82109,0.487601,0.165498,0.0291993,0.316499,-0.0504197,0.209656,-0.390993,-0.101106,0.0475164,-0.1,-0.701255,-0.0405882,0.379154,0.083439,-0.208745,0.104857,0.0,0.146252
1.85231,0.489985,0.167666,0.0312578,0.315358,-0.0504668,0.209707,-0.383825,-0.10066,0.0496891,-0.1,-0.698677,-0.0389831,0.379923,0.0838498,-0.210234,0.104894,0.0,0.181191
1.88339,0.491845,0.169808,0.0333651,0.314088,-0.0505096,0.209165,-0.374887,-0.0999896,0.0514568,-0.1,-0.695171,-0.0370457,0.379819,0.0841704,-0.211711,0.104634,0.0,0.190562
1.91421,0.492519,0.171897,0.0354713,0.312607,-0.0505523,0.208622,-0.36595,-0.0993192,0.0532246,-0.1,-0.691641,-0.0349468,0.378675,0.0842866,-0.213176,0.104375,0.0,0.174151
1.94491,0.492118,0.173934,0.0375777,0.310933,-0.050595,0.20808,-0.357013,-0.0986488,0.0549924,-0.1,-0.688086,-0.0331554,0.377259,0.0842174,-0.214628,0.104115,0.0,0.130187
1.97552,0.490743,0.175919,0.0396854,0.309082,-0.0506378,0.207537,-0.348076,-0.0979785,0.0567602,-0.1,-0.684506,-0.0314312,0.375597,0.0839805,-0.216068,0.103856,0.0,0.0860781
2.00599,0.488475,0.177853,0.0417954,0.307057,-0.0506805,0.206995,-0.339139,-0.0973081,0.058528,-0.1,-0.6809,-0.0297291,0.373707,0.0835896,-0.217495,0.103596,0.0,0.0592681
2.03624,0.485374,0.179736,0.0439082,0.304884,-0.0507233,0.206452,-0.330202,-0.0966377,0.0602957,-0.1,-0.677269,-0.0280369,0.371605,0.0830554,-0.218911,0.103337,0.0,0.0431769
2.06623,0.4815,0.181567,0.0460244,0.302604,-0.050766,0.205909,-0.321265,-0.0959673,0.0620635,-0.1,-0.673611,-0.0263578,0.369304,0.0823878,-0.220314,0.103078,0.0,0.0322656
2.09598,0.476906,0.183349,0.0481445,0.300225,-0.0508088,0.205367,-0.312328,-0.0952969,0.0638313,-0.1,-0.669927,-0.024254,0.366815,0.0815964,-0.221704,0.102818,0.0,0.025655
2.12551,0.471644,0.185082,0.0502687,0.297757,-0.0507953,0.204037,-0.302986,-0.0944708,0.064672,-0.1,-0.665684,-0.0220891,0.364152,0.0806898,-0.223079,0.10215,0.0,0.0725287
2.15476,0.465733,0.186765,0.0523964,0.295201,-0.0506694,0.201134,-0.292832,-0.0933331,0.0636586,-0.1,-0.660333,-0.020402,0.361315,0.0796719,-0.224433,0.100665,0.0,0.146252
2.18299,0.459606,0.188414,0.0544775,0.292463,-0.0504872,0.197444,-0.282273,-0.0920396,0.0617182,-0.1,-0.654386,-0.0188705,0.357843,0.0786166,-0.225761,0.0987716,0.0,0.181191
