CO2,CH4,N2O,FGAS,ODS,OC,BC,SOX,NOX,BBAER,DUST,CLOUD,O3S,O3T,H2OS,LCC,BCSNOW,VOLC,SOLAR
2.20119,0.501765,0.194125,0.0511579,0.299111,-0.0415141,0.187693,-0.334946,-0.0916219,0.0569039,-0.1,-0.639703,-0.0179208,0.363631,0.0858802,-0.217737,0.0938976,0.0,0.190562
2.23105,0.50284,0.196335,0.052646,0.297421,-0.041332,0.18637,-0.329342,-0.0913925,0.056841,-0.1,-0.636787,-0.0165962,0.363615,0.0860655,-0.218126,0.0932116,0.0,0.174151
2.2613,0.503866,0.198545,0.0540569,0.295681,-0.0411498,0.185046,-0.323738,-0.0911631,0.0567782,-0.1,-0.633854,-0.0153231,0.363587,0.0862423,-0.218496,0.0925256,0.0,0.130187
2.29191,0.504862,0.200754,0.0554002,0.293897,-0.0409676,0.183723,-0.318134,-0.0909337,0.0567153,-0.1,-0.630903,-0.0141126,0.363551,0.0864141,-0.218847,0.0918397,0.0,0.0860781
2.32277,0.505834,0.202964,0.0566838,0.292073,-0.0407854,0.1824,-0.31253,-0.0907043,0.0566524,-0.1,-0.627934,-0.0129639,0.363508,0.0865816,-0.219179,0.0911537,0.0,0.0592681
2.35376,0.506775,0.205173,0.057914,0.290207,-0.0406033,0.181076,-0.306926,-0.0904749,0.0565895,-0.1,-0.624947,-0.011876,0.363458,0.0867438,-0.219492,0.0904677,0.0,0.0431769
2.38482,0.507683,0.207382,0.0590964,0.288303,-0.0404211,0.179753,-0.301322,-0.0902455,0.0565267,-0.1,-0.621941,-0.0108491,0.3634,0.0869003,-0.219785,0.0897817,0.0,0.0322656
2.41595,0.508558,0.209591,0.060236,0.286361,-0.0402428,0.178403,-0.295621,-0.0899328,0.0564996,-0.1,-0.61879,-0.00987837,0.363333,0.0870512,-0.220064,0.0890837,0.0,0.025655
2.44714,0.509401,0.2118,0.061337,0.284385,-0.0400722,0.177001,-0.289726,-0.0894538,0.0565441,-0.1,-0.615362,-0.00895855,0.363258,0.0871965,-0.220336,0.0883615,0.0,0.0725287
2.47815,0.510149,0.214001,0.0623995,0.282327,-0.0399055,0.175573,-0.283735,-0.0888914,0.0566243,-0.1,-0.611783,-0.0080883,0.362763,0.0873255,-0.220607,0.0876272,0.0,0.146252
2.50887,0.510756,0.216188,0.0634241,0.280108,-0.0397388,0.174144,-0.277744,-0.0883291,0.0567046,-0.1,-0.608178,-0.0072672,0.361836,0.0874301,-0.220876,0.086893,0.0,0.181191
2.53952,0.51125,0.218361,0.0644156,0.277678,-0.039572,0.172716,-0.271753,-0.0877668,0.0567848,-0.1,-0.604547,-0.00649424,0.360882,0.0875154,-0.221144,0.0861587,0.0,0.190562
2.57025,0.511656,0.220519,0.065378,0.274999,-0.0394053,0.171288,-0.265761,-0.0872045,0.0568651,-0.1,-0.600889,-0.00575986,0.359905,0.0875853,-0.22141,0.0854245,0.0,0.174151
2.60106,0.511994,0.222663,0.0663149,0.272041,-0.0392386,0.169859,-0.25977,-0.0866422,0.0569454,-0.1,-0.597203,-0.00506063,0.358911,0.0876436,-0.221674,0.0846902,0.0,0.130187
2.63197,0.512285,0.224794,0.0672295,0.268788,-0.0390719,0.168431,-0.253779,-0.0860799,0.0570256,-0.1,-0.593491,-0.00440265,0.357906,0.0876938,-0.221937,0.083956,0.0,0.0860781
