NAmerica,S&CAmerica,Europe,NA&ME,Africa,FSU,China,S&SEAsia,PCDV
0.45,0.0,0.17,0.014,0.0,0.288,0.258,0.0,0.001
0.45,0.0,0.17,0.014,0.0,0.288,0.258,0.0,0.001
0.45,0.0,0.17,0.014,0.0,0.288,0.258,0.0,0.001
0.45,0.0,0.17,0.014,0.0,0.288,0.258,0.0,0.001
0.45,0.0,0.17,0.014,0.0,0.288,0.258,0.0,0.001
0.45,0.0,0.17,0.014,0.0,0.288,0.258,0.0,0.001
0.45,0.0,0.17,0.014,0.0,0.288,0.258,0.0,0.001
0.45,0.0,0.17,0.014,0.0,0.288,0.258,0.0,0.001
0.45,0.035,0.17,0.014,0.058,0.288,0.258,0.28,0.001
0.45,0.035,0.17,0.014,0.058,0.288,0.258,0.28,0.001
0.45,0.035,0.17,0.014,0.058,0.288,0.258,0.28,0.001
0.45,0.035,0.17,0.014,0.058,0.288,0.258,0.28,0.001
0.45,0.035,0.17,0.014,0.058,0.288,0.258,0.28,0.001
0.45,0.035,0.17,0.014,0.058,0.288,0.258,0.28,0.001
0.45,0.035,0.17,0.014,0.058,0.288,0.258,0.28,0.001
0.45,0.035,0.17,0.014,0.058,0.288,0.258,0.28,0.001
0.45,0.035,0.17,0.014,0.058,0.288,0.258,0.28,0.001
0.45,0.035,0.17,0.014,0.058,0.288,0.258,0.28,0.001
0.45,0.035,0.17,0.014,0.058,0.288,0.258,0.295,0.001
0.45,0.035,0.17,0.014,0.058,0.288,0.258,0.295,0.001
0.45,0.035,0.17,0.014,0.058,0.288,0.258,0.295,0.001
0.45,0.035,0.17,0.014,0.058,0.288,0.258,0.295,0.001
0.45,0.035,0.17,0.014,0.058,0.288,0.258,0.295,0.001
0.45,0.035,0.17,0.014,0.058,0.288,0.258,0.295,0.001
0.45,0.035,0.17,0.014,0.058,0.288,0.258,0.295,0.001
0.45,0.035,0.17,0.014,0.058,0.288,0.258,0.295,0.001
0.45,0.035,0.17,0.014,0.058,0.288,0.258,0.295,0.001
0.45,0.035,0.17,0.014,0.058,0.288,0.258,0.295,0.001
0.45,0.035,0.17,0.014,0.058,0.288,0.258,0.295,0.001
0.45,0.035,0.17,0.014,0.058,0.288,0.258,0.295,0.001
0.45,0.035,0.17,0.014,0.058,0.288,0.258,0.295,0.001
0.45,0.035,0.17,0.014,0.058,0.288,0.258,0.295,0.001
0.45,0.035,0.17,0.014,0.058,0.288,0.258,0.295,0.001
0.45,0.035,0.17,0.014,0.08,0.288,0.258,0.295,0.001
0.45,0.035,0.17,0.014,0.08,0.288,0.258,0.295,0.001
0.45,0.035,0.17,0.014,0.08,0.288,0.258,0.295,0.001
0.45,0.035,0.17,0.014,0.08,0.288,0.258,0.295,0.001
0.45,0.035,0.17,0.014,0.08,0.288,0.258,0.295,0.001
0.45,0.035,0.17,0.014,0.08,0.288,0.258,0.497,0.001
0.45,0.035,0.17,0.014,0.08,0.288,0.258,0.497,0.001
0.45,0.035,0.17,0.014,0.08,0.288,0.258,0.497,0.001
0.45,0.035,0.17,0.014,0.08,0.288,0.258,0.497,0.001
0.45,0.035,0.17,0.014,0.08,0.288,0.258,0.497,0.001
0.45,0.035,0.17,0.014,0.08,0.288,0.258,0.497,0.001
0.45,0.035,0.17,0.014,0.08,0.288,0.258,0.497,0.001
0.45,0.035,0.17,0.014,0.08,0.288,0.258,0.497,0.001
0.45,0.035,0.17,0.014,0.08,0.288,0.258,0.497,0.001
0.45,0.035,0.17,0.014,0.08,0.288,0.258,0.497,0.001
0.45,0.035,0.17,0.014,0.08,0.288,0.258,0.497,0.001
0.45,0.035,0.17,0.014,0.08,0.288,0.258,0.497,0.001
0.45,0.035,0.17,0.014,0.08,0.288,0.258,0.497,0.001
0.45,0.035,0.17,0.014,0.08,0.288,0.258,0.497,0.001
0.45,0.035,0.17,0.014,0.08,0.288,0.258,0.497,0.001
0.45,0.035,0.17,0.014,0.08,0.288,0.258,0.497,0.001
0.45,0.035,0.17,0.014,0.08,0.288,0.258,0.497,0.001
