NAmerica,S&CAmerica,Europe,NA&ME,Africa,FSU,China,S&SEAsia,PCDV
0.00553813,0.0,0.0241813,0.00140375,0.0,0.0,0.0091,0.0,0.0095
0.00617625,0.0,0.0243625,0.0014075,0.0,0.0396,0.0091,0.0,0.012
0.00681438,0.0,0.0245437,0.00141125,0.0,0.0396,0.0091,0.0,0.012
0.0074525,0.0,0.024725,0.001415,0.0,0.0396,0.0091,0.0,0.012
0.00809062,0.0,0.0249062,0.00141875,0.0,0.0396,0.0091,0.0,0.012
0.00872875,0.0,0.0250875,0.0014225,0.0,0.0396,0.0091,0.0,0.012
0.00936687,0.0,0.0252688,0.00142625,0.0,0.0396,0.0091,0.0,0.012
0.010005,0.0,0.02545,0.00143,0.0,0.0396,0.0091,0.0,0.012
0.0106431,0.0,0.0256313,0.00143375,0.0,0.0396,0.0091,0.0,0.012
0.0112813,0.0,0.0258125,0.0014375,0.0,0.0396,0.0091,0.0,0.012
0.0119194,0.0,0.0259937,0.00144125,0.0,0.0396,0.0091,0.0,0.012
0.0125575,0.0,0.026175,0.001445,0.0,0.0396,0.0091,0.0,0.012
0.0131956,0.0,0.0263563,0.00144875,0.0,0.0396,0.0091,0.0,0.012
0.0138338,0.0,0.0265375,0.0014525,0.0,0.0396,0.0091,0.0,0.012
0.0144719,0.0,0.0267188,0.00145625,0.0,0.0396,0.0091,0.0,0.012
0.01511,0.0,0.0269,0.00146,0.0,0.0396,0.0091,0.0,0.012
0.0157481,0.0,0.0270812,0.00146375,0.0,0.0396,0.0091,0.0,0.012
0.0163863,0.0,0.0272625,0.0014675,0.0,0.0396,0.0091,0.0,0.012
0.0170244,0.0,0.0274437,0.00147125,0.0,0.0396,0.0091,0.0,0.012
0.0176625,0.0,0.027625,0.001475,0.0,0.0396,0.0091,0.0,0.012
0.0183006,0.0,0.0278063,0.00147875,0.0,0.0396,0.0091,0.0,0.012
0.0189388,0.0,0.0279875,0.0014825,0.0,0.0396,0.0091,0.0,0.012
0.0195769,0.0,0.0281688,0.00148625,0.0,0.0396,0.0091,0.0,0.012
0.020215,0.0,0.02835,0.00149,0.0,0.0396,0.0091,0.0,0.012
0.0208531,0.0,0.0285312,0.00149375,0.0,0.0396,0.0091,0.0,0.012
0.0214913,0.0,0.0287125,0.0014975,0.0,0.0396,0.0091,0.0,0.012
0.0221294,0.0,0.0288938,0.00150125,0.0,0.0396,0.0091,0.0,0.012
