index,GTAP7,SRES_4reg,SRES_11reg,RECCAP1,Raupach_2007,Houghton_2001,IMACLIM,Kyoto,RCP_5reg,RCP_10reg,Houghton_2017,AR6_5reg,AR6_10reg,AR6_22reg,Finest
63,Netherlands,,,,,,,,,,,,,,Switzerland
64,Poland,,,,,,,,,,,,,,Norway
65,Portugal,,,,,,,,,,,,,,Rest of European Free Trade Association
66,Slovakia,,,,,,,,,,,,,,Albania
67,Slovenia,,,,,,,,,,,,,,Bulgaria
68,Spain,,,,,,,,,,,,,,Romania
69,Sweden,,,,,,,,,,,,,,Rest of Europe
70,United Kingdom,,,,,,,,,,,,,,Rest of Former Soviet Union
71,Switzerland,,,,,,,,,,,,,,Iran
72,Norway,,,,,,,,,,,,,,Turkey
73,Rest of European Free Trade Association,,,,,,,,,,,,,,Rest of Western Asia
74,Albania,,,,,,,,,,,,,,Egypt
75,Bulgaria,,,,,,,,,,,,,,Morocco
76,Belarus,,,,,,,,,,,,,,Tunisia
77,Croatia,,,,,,,,,,,,,,Rest of North Africa
78,Romania,,,,,,,,,,,,,,Nigeria
79,Russian Federation,,,,,,,,,,,,,,Senegal
80,Ukraine,,,,,,,,,,,,,,Rest of Western Africa
81,Rest of Eastern Europe,,,,,,,,,,,,,,Rest of Central Africa
82,Rest of Europe,,,,,,,,,,,,,,Rest of South Central Africa
83,Kazakhstan,,,,,,,,,,,,,,Ethiopia
84,Kyrgyzstan,,,,,,,,,,,,,,Madagascar
85,Rest of Former Soviet Union,,,,,,,,,,,,,,Malawi
86,Armenia,,,,,,,,,,,,,,Mauritius
87,Azerbaijan,,,,,,,,,,,,,,Mozambique
88,Georgia,,,,,,,,,,,,,,Tanzania
89,Iran,,,,,,,,,,,,,,Uganda
90,Turkey,,,,,,,,,,,,,,Zambia
91,Rest of Western Asia,,,,,,,,,,,,,,Zimbabwe
92,Egypt,,,,,,,,,,,,,,Rest of Eastern Africa
93,Morocco,,,,,,,,,,,,,,Botswana
94,Tunisia,,,,,,,,,,,,,,South Africa
95,Rest of North Africa,,,,,,,,,,,,,,Rest of South African Customs Union
96,Nigeria,,,,,,,,,,,,,,
97,Senegal,,,,,,,,,,,,,,
98,Rest of Western Africa,,,,,,,,,,,,,,
99,Rest of Central Africa,,,,,,,,,,,,,,
100,Rest of South Central Africa,,,,,,,,,,,,,,
101,Ethiopia,,,,,,,,,,,,,,
102,Madagascar,,,,,,,,,,,,,,
103,Malawi,,,,,,,,,,,,,,
104,Mauritius,,,,,,,,,,,,,,
105,Mozambique,,,,,,,,,,,,,,
106,Tanzania,,,,,,,,,,,,,,
107,Uganda,,,,,,,,,,,,,,
108,Zambia,,,,,,,,,,,,,,
109,Zimbabwe,,,,,,,,,,,,,,
110,Rest of Eastern Africa,,,,,,,,,,,,,,
111,Botswana,,,,,,,,,,,,,,
112,South Africa,,,,,,,,,,,,,,
113,Rest of South African Customs Union,,,,,,,,,,,,,,
