CO2,CH4,N2O,FGAS,ODS,OC,BC,SOX,NOX,BBAER,DUST,CLOUD,O3S,O3T,H2OS,LCC,BCSNOW,VOLC,SOLAR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0283588
0.0110491,0.00357577,0.000738661,0.0,0.0,0.0,0.0,-2.86731e-05,-1.2928e-05,0.000250103,-0.000190735,-0.000801451,0.0,0.00140604,0.000606707,-0.00038147,0.000107708,0.116222,-0.0206937
0.023246,0.00736074,0.00151637,0.0,0.0,0.0,0.0,-7.97657e-05,-3.19082e-05,0.000672939,-0.000567733,-0.00238112,0.0,0.00337827,0.00124891,-0.00113547,0.00032059,0.232444,0.00703938
0.0256052,0.00777313,0.00159381,0.0,0.0,0.0,0.0,-0.000120421,-4.16465e-05,0.000977553,-0.000935841,-0.00391494,0.0,0.00425704,0.0013189,-0.00187168,0.000528435,0.197444,0.0462569
0.028057,0.00817237,0.00167006,0.0,0.0,0.0,0.0,-0.000153962,-4.79302e-05,0.00121549,-0.00129517,-0.0054041,0.0,0.00487961,0.00138665,-0.00259034,0.000731305,0.131819,0.073605
0.0305529,0.00855779,0.00174523,0.0,0.0,0.0,0.0,-0.000182439,-5.25379e-05,0.00140985,-0.00164582,-0.00684976,0.0,0.00549721,0.00145206,-0.00329165,0.000929259,0.127444,0.0772581
0.0330936,0.00893207,0.00181931,0.0,0.0,-1.68577e-05,6.06652e-05,-0.000242598,-5.69856e-05,0.00135539,-0.00198792,-0.00844667,0.0,0.00611091,0.00151558,-0.00397583,0.00114298,0.179944,0.0648944
0.0357058,0.00929859,0.00189228,0.0,0.0,-3.37153e-05,0.00012133,-0.000298156,-6.07885e-05,0.00126556,-0.00232156,-0.0100013,0.0,0.00672204,0.00157778,-0.00464311,0.00135191,0.214944,0.0443362
0.0383971,0.00965806,0.00196426,0.0,0.0,-3.37153e-05,0.00012133,-0.000314621,-6.33834e-05,0.00136606,-0.00264685,-0.0113213,0.0,0.00733093,0.00163879,-0.0052937,0.00153548,0.228069,0.0203481
0.0411609,0.0100098,0.00203544,0.0,0.0,-3.37153e-05,0.00012133,-0.000329868,-6.57492e-05,0.001457,-0.00296391,-0.012602,0.0,0.0079373,0.00169849,-0.00592781,0.00171438,0.232444,0.00144375
0.0440096,0.0103531,0.00210598,0.0,0.0,-3.37153e-05,0.00012133,-0.000344145,-6.79547e-05,0.00154045,-0.00327284,-0.0138446,0.0,0.00854091,0.00175675,-0.00654568,0.00188866,0.232444,-0.00981313
0.0469792,0.0106873,0.00217585,0.0,0.0,-3.37153e-05,0.00012133,-0.00035764,-7.0046e-05,0.00161793,-0.00357375,-0.0150498,0.0,0.00914152,0.00181347,-0.0071475,0.00205839,0.232444,-0.00395063
0.0500673,0.0110116,0.00224499,0.0,0.0,-3.37153e-05,0.00012133,-0.000370499,-7.2055e-05,0.00169058,-0.00386676,-0.0162188,0.0,0.00973886,0.00186851,-0.00773351,0.00222363,0.232444,0.022645
0.0532026,0.0113254,0.0023135,0.0,0.0,-3.37153e-05,0.00012133,-0.000382835,-7.40046e-05,0.00175929,-0.00415196,-0.0173523,0.0,0.0103327,0.00192177,-0.00830393,0.00238444,0.232444,0.0523687
0.0562871,0.0116279,0.00238163,0.0,0.0,-3.37153e-05,0.00012133,-0.000394738,-7.59118e-05,0.00182473,-0.00442948,-0.0184512,0.0,0.0109228,0.00197313,-0.00885896,0.00254087,0.232444,0.0597012
0.0592345,0.0119171,0.00244953,0.0,0.0,-3.37153e-05,0.00012133,-0.00040628,-7.77893e-05,0.00188746,-0.00469941,-0.0195164,0.0,0.0115083,0.00202221,-0.00939882,0.002693,0.232444,0.0515288
